Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
13165,0.01,0.07,0.01,0.01,0.09,0.01,0.05,0.01,0.02,0.01,0.02,0.1,16
13166,0.1,0.09,0.07,0.01,0.1,0.01,0.06,0.01,0.01,0.01,0.01,0.02,16
13167,0.33,0.04,0.02,0.02,0.09,0.02,0.02,0.03,0.02,0.05,0.02,0.02,1
13168,0.11,0.08,0.27,0.02,0.03,0.02,0.02,0.02,0.16,0.03,0.02,0.02,3
13169,0.08,0.16,0.05,0.02,0.07,0.03,0.02,0.02,0.01,0.03,0.03,0.06,16
13170,0.03,0.04,0.16,0.02,0.04,0.04,0.07,0.05,0.04,0.09,0.02,0.08,16
13171,0.06,0.1,0.09,0.03,0.04,0.03,0.04,0.09,0.06,0.03,0.03,0.08,16
13172,0.08,0.03,0.05,0.03,0.04,0.03,0.07,0.03,0.03,0.09,0.03,0.06,16
13173,0.02,0.07,0.01,0.01,0.09,0.01,0.01,0.03,0.01,0.02,0.01,0.02,16
13174,0.26,0.03,0.01,0.01,0.07,0.03,0.02,0.01,0.04,0.02,0.01,0.03,16
13175,0.09,0.03,0.03,0.02,0.1,0.03,0.03,0.05,0.12,0.06,0.05,0.02,16
13176,0.07,0.07,0.04,0.02,0.18,0.06,0.03,0.03,0.03,0.12,0.03,0.02,6
13177,0.03,0.12,0.04,0.03,0.09,0.04,0.04,0.03,0.06,0.03,0.03,0.12,2
13178,0.02,0.05,0.1,0.02,0.21,0.02,0.04,0.02,0.02,0.15,0.02,0.02,6
13179,0.13,0.02,0.02,0.02,0.07,0.03,0.07,0.04,0.02,0.1,0.02,0.04,16
13180,0.04,0.09,0.08,0.02,0.03,0.07,0.02,0.02,0.01,0.01,0.01,0.01,16
13181,0.04,0.07,0.09,0.08,0.04,0.03,0.04,0.04,0.08,0.06,0.04,0.04,15
13182,0.04,0.08,0.08,0.02,0.13,0.02,0.02,0.04,0.07,0.09,0.02,0.02,16
13183,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.19,0
13184,0.01,0.01,0.05,0.01,0.17,0.04,0.05,0.02,0.01,0.06,0.01,0.01,16
13185,0.04,0.05,0.03,0.02,0.03,0.05,0.02,0.02,0.02,0.08,0.02,0.07,16
13186,0.12,0.02,0.05,0.01,0.05,0.05,0.01,0.01,0.02,0.01,0.01,0.02,16
13187,0.09,0.04,0.08,0.04,0.05,0.04,0.04,0.04,0.04,0.09,0.04,0.07,1
13188,0.3,0.02,0.02,0.01,0.04,0.01,0.02,0.02,0.03,0.05,0.01,0.03,16
