Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
4,0.11,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.1,0.09,0.04,0.08,1
5,0.03,0.02,0.02,0.02,0.06,0.02,0.02,0.44,0.02,0.14,0.02,0.04,12
6,0.02,0.03,0.01,0.01,0.26,0.01,0.01,0.38,0.04,0.02,0.01,0.03,12
7,0.02,0.02,0.02,0.02,0.13,0.05,0.11,0.3,0.02,0.04,0.03,0.02,12
8,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.24,0.04,0.04,14
9,0.07,0.08,0.04,0.04,0.04,0.04,0.05,0.16,0.04,0.04,0.04,0.04,12
10,0.07,0.03,0.03,0.06,0.09,0.03,0.05,0.24,0.03,0.1,0.04,0.04,12
11,0.07,0.02,0.01,0.02,0.04,0.04,0.02,0.35,0.08,0.09,0.02,0.07,12
12,0.29,0.08,0.01,0.01,0.03,0.01,0.01,0.42,0.01,0.02,0.01,0.01,12
13,0.15,0.02,0.02,0.02,0.17,0.02,0.07,0.18,0.02,0.11,0.02,0.02,12
14,0.13,0.03,0.03,0.03,0.14,0.07,0.05,0.04,0.09,0.03,0.03,0.03,6
15,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.05,0.06,0.06,0.05,12
16,0.08,0.04,0.04,0.04,0.03,0.03,0.05,0.22,0.04,0.04,0.04,0.04,12
17,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.16,0.05,0.04,0.04,0.04,12
18,0.3,0.02,0.01,0.01,0.05,0.02,0.02,0.33,0.04,0.01,0.01,0.03,12
19,0.04,0.01,0.04,0.01,0.32,0.04,0.08,0.21,0.01,0.07,0.01,0.01,6
20,0.09,0.12,0.1,0.03,0.04,0.03,0.04,0.13,0.04,0.03,0.03,0.04,12
21,0.15,0.02,0.01,0.01,0.02,0.01,0.02,0.52,0.03,0.01,0.01,0.03,12
22,0.06,0.03,0.13,0.02,0.03,0.02,0.02,0.07,0.26,0.13,0.02,0.03,13
23,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.07,0.04,12
24,0.05,0.06,0.03,0.08,0.04,0.03,0.03,0.23,0.03,0.06,0.03,0.09,12
25,0.19,0.03,0.02,0.02,0.03,0.02,0.03,0.37,0.02,0.02,0.02,0.05,12
26,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.22,0.04,0.04,14
27,0.04,0.05,0.04,0.04,0.05,0.04,0.08,0.21,0.04,0.04,0.04,0.04,12
28,0.04,0.04,0.02,0.03,0.2,0.03,0.19,0.03,0.03,0.05,0.03,0.03,6
29,0.11,0.05,0.03,0.03,0.03,0.02,0.03,0.36,0.02,0.06,0.03,0.02,12
30,0.04,0.04,0.05,0.04,0.04,0.08,0.04,0.04,0.04,0.19,0.04,0.08,14
31,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.06,0.01,0.04,12
32,0.12,0.06,0.03,0.03,0.09,0.03,0.11,0.13,0.03,0.03,0.03,0.03,12
33,0.07,0.03,0.03,0.02,0.07,0.02,0.05,0.26,0.11,0.02,0.02,0.06,12
34,0.15,0.06,0.02,0.02,0.06,0.02,0.11,0.28,0.02,0.03,0.01,0.09,12
35,0.07,0.06,0.04,0.04,0.23,0.04,0.04,0.05,0.04,0.03,0.04,0.05,6
36,0.04,0.08,0.04,0.05,0.09,0.04,0.04,0.2,0.04,0.04,0.04,0.04,12
37,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.09,0.04,0.04,0.04,12
38,0.09,0.07,0.07,0.03,0.06,0.05,0.04,0.16,0.04,0.03,0.03,0.03,12
39,0.28,0.02,0.01,0.01,0.26,0.01,0.01,0.17,0.01,0.1,0.01,0.01,1
40,0.04,0.03,0.05,0.03,0.07,0.03,0.04,0.04,0.04,0.03,0.03,0.13,15
41,0.08,0.04,0.14,0.04,0.06,0.04,0.05,0.04,0.04,0.12,0.04,0.04,3
42,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.04,0.04,0.04,0.04,12
43,0.04,0.1,0.03,0.04,0.11,0.04,0.04,0.08,0.04,0.08,0.03,0.05,6
44,0.04,0.07,0.03,0.03,0.16,0.03,0.04,0.21,0.03,0.04,0.03,0.03,12
45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,13
46,0.06,0.04,0.01,0.01,0.21,0.04,0.06,0.1,0.14,0.02,0.01,0.01,6
47,0.04,0.05,0.03,0.03,0.15,0.03,0.06,0.04,0.03,0.04,0.03,0.02,0
48,0.14,0.01,0.02,0.01,0.06,0.01,0.01,0.5,0.01,0.02,0.01,0.01,12
49,0.03,0.07,0.06,0.03,0.14,0.03,0.03,0.11,0.04,0.14,0.03,0.03,6
50,0.1,0.02,0.02,0.02,0.19,0.02,0.02,0.23,0.02,0.02,0.12,0.02,12
51,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4
52,0.08,0.08,0.06,0.03,0.09,0.03,0.03,0.09,0.1,0.11,0.03,0.03,14
53,0.07,0.11,0.09,0.03,0.06,0.03,0.08,0.1,0.07,0.03,0.03,0.09,2
54,0.04,0.03,0.04,0.04,0.11,0.03,0.04,0.12,0.04,0.03,0.04,0.09,15
55,0.05,0.04,0.04,0.05,0.08,0.04,0.05,0.05,0.07,0.1,0.05,0.04,14
56,0.15,0.04,0.02,0.01,0.22,0.04,0.01,0.21,0.01,0.1,0.01,0.01,6
57,0.02,0.02,0.02,0.02,0.12,0.03,0.06,0.42,0.02,0.02,0.02,0.02,12
58,0.08,0.02,0.02,0.02,0.13,0.04,0.16,0.12,0.02,0.02,0.02,0.02,11
59,0.32,0.01,0.03,0.01,0.05,0.03,0.03,0.27,0.02,0.08,0.02,0.01,1
60,0.02,0.01,0.02,0.01,0.03,0.04,0.02,0.42,0.01,0.07,0.01,0.07,12
61,0.02,0.03,0.02,0.02,0.21,0.04,0.03,0.37,0.02,0.04,0.02,0.04,12
62,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.19,0.04,0.1,14
63,0.12,0.02,0.02,0.02,0.17,0.05,0.02,0.22,0.02,0.02,0.03,0.02,12
64,0.2,0.04,0.02,0.02,0.15,0.02,0.04,0.28,0.02,0.02,0.02,0.02,12
65,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.04,0.04,15
66,0.37,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.07,0.06,0.02,0.02,1
67,0.03,0.03,0.05,0.03,0.08,0.03,0.03,0.41,0.03,0.03,0.03,0.03,12
68,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.14,0.08,0.04,0.04,0.08,12
69,0.14,0.02,0.03,0.02,0.31,0.02,0.03,0.14,0.02,0.06,0.02,0.02,6
70,0.04,0.05,0.02,0.02,0.05,0.02,0.06,0.23,0.03,0.22,0.02,0.03,12
71,0.12,0.01,0.04,0.02,0.16,0.02,0.05,0.17,0.02,0.2,0.02,0.02,14
72,0.02,0.02,0.02,0.02,0.44,0.02,0.03,0.14,0.02,0.08,0.02,0.02,6
73,0.07,0.09,0.04,0.04,0.08,0.04,0.04,0.11,0.06,0.08,0.04,0.04,12
74,0.16,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.09,0.04,0.04,1
75,0.02,0.11,0.02,0.02,0.15,0.02,0.02,0.27,0.04,0.04,0.02,0.04,12
76,0.1,0.02,0.03,0.02,0.22,0.03,0.02,0.21,0.02,0.02,0.02,0.02,6
77,0.31,0.03,0.01,0.01,0.02,0.01,0.04,0.2,0.04,0.03,0.01,0.02,1
78,0.38,0.02,0.01,0.02,0.11,0.01,0.03,0.24,0.01,0.09,0.01,0.01,1
79,0.04,0.02,0.01,0.01,0.24,0.03,0.04,0.32,0.02,0.03,0.01,0.03,12
80,0.02,0.02,0.02,0.02,0.06,0.02,0.05,0.33,0.11,0.02,0.02,0.09,12
81,0.14,0.07,0.04,0.04,0.06,0.03,0.03,0.1,0.04,0.09,0.04,0.03,1
82,0.02,0.02,0.02,0.02,0.15,0.02,0.03,0.43,0.02,0.06,0.02,0.02,12
83,0.08,0.03,0.03,0.03,0.1,0.03,0.03,0.31,0.03,0.04,0.03,0.06,12
84,0.22,0.09,0.05,0.01,0.15,0.01,0.02,0.18,0.05,0.03,0.01,0.03,1
85,0.02,0.05,0.01,0.01,0.06,0.01,0.02,0.48,0.02,0.03,0.01,0.01,12
86,0.07,0.07,0.03,0.04,0.12,0.04,0.06,0.13,0.07,0.04,0.04,0.03,12
87,0.15,0.03,0.03,0.03,0.2,0.03,0.06,0.09,0.04,0.03,0.03,0.03,6
88,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.05,0.05,14
89,0.1,0.07,0.04,0.04,0.05,0.04,0.04,0.18,0.04,0.05,0.04,0.04,12
90,0.4,0.02,0.02,0.02,0.04,0.02,0.02,0.21,0.02,0.01,0.04,0.05,1
91,0.15,0.11,0.06,0.02,0.08,0.02,0.02,0.2,0.07,0.05,0.02,0.03,12
92,0.1,0.03,0.03,0.04,0.03,0.03,0.03,0.19,0.03,0.03,0.04,0.07,12
93,0.33,0.02,0.01,0.01,0.17,0.02,0.06,0.09,0.02,0.05,0.02,0.06,1
94,0.08,0.05,0.05,0.03,0.25,0.03,0.03,0.08,0.04,0.06,0.03,0.03,6
95,0.28,0.04,0.01,0.01,0.11,0.02,0.03,0.19,0.04,0.01,0.01,0.04,1
96,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.3,0.04,0.04,0.04,0.04,12
97,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.44,0.03,0.03,0.03,0.06,12
98,0.1,0.06,0.04,0.01,0.3,0.02,0.02,0.18,0.01,0.01,0.01,0.06,6
99,0.05,0.04,0.03,0.02,0.11,0.02,0.02,0.28,0.04,0.02,0.02,0.07,12
100,0.08,0.05,0.07,0.03,0.1,0.02,0.03,0.21,0.03,0.06,0.02,0.03,12
101,0.06,0.04,0.02,0.02,0.22,0.08,0.03,0.2,0.02,0.07,0.02,0.06,6
102,0.04,0.05,0.04,0.05,0.05,0.05,0.09,0.12,0.05,0.05,0.05,0.05,12
103,0.03,0.09,0.03,0.03,0.04,0.03,0.24,0.18,0.03,0.06,0.03,0.03,11
104,0.06,0.02,0.02,0.02,0.04,0.01,0.02,0.41,0.01,0.03,0.01,0.05,12
105,0.09,0.02,0.01,0.02,0.15,0.01,0.02,0.47,0.02,0.02,0.02,0.01,12
106,0.02,0.02,0.02,0.02,0.44,0.02,0.04,0.16,0.02,0.06,0.02,0.02,6
107,0.02,0.02,0.02,0.03,0.28,0.02,0.03,0.19,0.02,0.05,0.03,0.02,6
108,0.03,0.02,0.02,0.02,0.14,0.04,0.09,0.38,0.03,0.01,0.02,0.02,12
109,0.23,0.06,0.03,0.03,0.03,0.03,0.06,0.03,0.09,0.15,0.03,0.03,1
110,0.28,0.09,0.01,0.01,0.08,0.02,0.03,0.3,0.01,0.01,0.01,0.02,12
111,0.04,0.03,0.08,0.03,0.1,0.06,0.03,0.09,0.04,0.07,0.03,0.13,18
112,0.22,0.07,0.04,0.02,0.07,0.02,0.03,0.26,0.02,0.02,0.02,0.02,12
113,0.01,0.06,0.04,0.02,0.24,0.01,0.12,0.25,0.01,0.04,0.01,0.01,12
114,0.08,0.02,0.02,0.02,0.02,0.02,0.03,0.49,0.06,0.02,0.02,0.04,12
115,0.26,0.03,0.03,0.03,0.06,0.03,0.03,0.1,0.03,0.06,0.03,0.09,1
116,0.12,0.07,0.01,0.01,0.3,0.01,0.01,0.13,0.06,0.1,0.01,0.01,6
117,0.04,0.07,0.02,0.02,0.17,0.02,0.08,0.18,0.02,0.03,0.02,0.04,12
118,0.07,0.04,0.02,0.06,0.14,0.02,0.02,0.31,0.03,0.03,0.02,0.06,12
119,0.12,0.04,0.02,0.01,0.29,0.02,0.02,0.18,0.02,0.01,0.02,0.01,6
120,0.08,0.02,0.01,0.02,0.16,0.01,0.05,0.41,0.02,0.03,0.03,0.02,12
121,0.02,0.04,0.03,0.02,0.12,0.03,0.11,0.22,0.01,0.02,0.02,0.01,12
122,0.28,0.08,0.02,0.02,0.03,0.02,0.02,0.18,0.06,0.07,0.01,0.05,1
123,0.28,0.03,0.03,0.01,0.02,0.01,0.02,0.17,0.06,0.25,0.01,0.02,1
124,0.02,0.07,0.08,0.03,0.18,0.08,0.03,0.14,0.02,0.11,0.03,0.02,6
125,0.09,0.05,0.02,0.01,0.38,0.01,0.13,0.1,0.01,0.05,0.01,0.04,6
126,0.02,0.04,0.06,0.01,0.29,0.02,0.02,0.21,0.02,0.04,0.01,0.03,6
127,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.09,0.05,0.05,0.05,0.05,12
128,0.02,0.02,0.06,0.02,0.13,0.02,0.04,0.33,0.02,0.05,0.02,0.07,12
129,0.09,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.14,0.05,0.04,14
130,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.17,0.07,0.04,0.04,13
131,0.1,0.05,0.02,0.02,0.17,0.01,0.05,0.23,0.06,0.03,0.01,0.02,12
132,0.04,0.04,0.03,0.03,0.15,0.04,0.04,0.1,0.04,0.11,0.03,0.03,6
133,0.06,0.03,0.02,0.02,0.19,0.03,0.07,0.25,0.02,0.05,0.03,0.02,12
134,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.29,0.03,0.09,14
135,0.13,0.09,0.03,0.03,0.04,0.04,0.03,0.29,0.03,0.03,0.03,0.03,12
136,0.07,0.04,0.12,0.02,0.07,0.02,0.02,0.32,0.02,0.1,0.02,0.02,12
137,0.03,0.02,0.01,0.01,0.03,0.01,0.02,0.51,0.01,0.02,0.01,0.02,12
138,0.06,0.04,0.02,0.02,0.11,0.03,0.07,0.29,0.05,0.07,0.02,0.02,12
139,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,6
140,0.11,0.06,0.01,0.01,0.11,0.01,0.01,0.35,0.01,0.04,0.01,0.04,12
141,0.41,0.02,0.02,0.01,0.08,0.01,0.02,0.14,0.05,0.06,0.01,0.02,1
142,0.06,0.03,0.02,0.02,0.15,0.01,0.04,0.36,0.02,0.07,0.02,0.06,12
143,0.03,0.03,0.16,0.03,0.07,0.03,0.13,0.05,0.07,0.03,0.03,0.07,3
144,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0.02,0.04,0.03,0.03,12
145,0.09,0.03,0.06,0.03,0.19,0.03,0.03,0.05,0.03,0.07,0.03,0.03,6
146,0.12,0.04,0.1,0.01,0.04,0.01,0.01,0.4,0.12,0.04,0.01,0.01,12
147,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.2,0.04,0.08,0.04,0.04,12
148,0.03,0.03,0.04,0.03,0.21,0.03,0.03,0.23,0.03,0.03,0.03,0.03,12
149,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,7
150,0.18,0.02,0.02,0.01,0.08,0.01,0.16,0.34,0.01,0.01,0.01,0.01,12
151,0.1,0.01,0.02,0.01,0.09,0.03,0.02,0.37,0.04,0.01,0.01,0.01,12
152,0.05,0.03,0.03,0.02,0.34,0.04,0.01,0.19,0.02,0.01,0.02,0.05,6
153,0.05,0.1,0.01,0.02,0.04,0.02,0.07,0.4,0.06,0.03,0.01,0.07,12
154,0.03,0.04,0.05,0.03,0.21,0.03,0.04,0.27,0.03,0.03,0.03,0.02,12
155,0.26,0.02,0.02,0.01,0.24,0.03,0.04,0.18,0.01,0.03,0.03,0.01,1
156,0.08,0.03,0.03,0.04,0.03,0.08,0.04,0.2,0.03,0.09,0.04,0.03,12
157,0.24,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,1
158,0.03,0.09,0.03,0.03,0.16,0.03,0.03,0.16,0.03,0.09,0.03,0.07,6
159,0.19,0.04,0.02,0.01,0.25,0.01,0.05,0.08,0.1,0.02,0.01,0.03,6
160,0.04,0.08,0.04,0.04,0.07,0.04,0.04,0.25,0.04,0.04,0.04,0.04,12
161,0.31,0.03,0.01,0.01,0.11,0.02,0.06,0.18,0.01,0.02,0.01,0.03,1
162,0.02,0.05,0.01,0.01,0.23,0.01,0.05,0.21,0.01,0.02,0.01,0.05,6
163,0.03,0.03,0.04,0.03,0.34,0.04,0.06,0.04,0.03,0.03,0.04,0.03,6
164,0.09,0.05,0.04,0.04,0.04,0.04,0.04,0.18,0.04,0.04,0.04,0.04,12
165,0.18,0.04,0.02,0.02,0.05,0.01,0.04,0.23,0.07,0.14,0.02,0.06,12
166,0.02,0.02,0.02,0.02,0.36,0.02,0.03,0.28,0.02,0.04,0.02,0.02,6
167,0.22,0.04,0.01,0.01,0.34,0.01,0.02,0.13,0.01,0.04,0.01,0.02,6
168,0.05,0.02,0.02,0.05,0.03,0.02,0.03,0.5,0.05,0.02,0.02,0.02,12
169,0.05,0.1,0.03,0.03,0.14,0.03,0.07,0.15,0.06,0.03,0.03,0.03,12
170,0.07,0.01,0.18,0.01,0.36,0.02,0.03,0.09,0.01,0.03,0.01,0.01,6
171,0.05,0.03,0.02,0.05,0.34,0.03,0.05,0.04,0.03,0.03,0.03,0.06,6
172,0.06,0.06,0.02,0.02,0.05,0.02,0.02,0.51,0.02,0.02,0.02,0.03,12
173,0.2,0.03,0.02,0.02,0.23,0.02,0.03,0.17,0.03,0.04,0.02,0.02,6
174,0.03,0.03,0.01,0.02,0.34,0.01,0.02,0.17,0.02,0.02,0.02,0.02,6
175,0.04,0.02,0.02,0.02,0.28,0.02,0.03,0.18,0.05,0.02,0.02,0.02,6
176,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.63,0.02,0.02,0.02,0.02,12
177,0.08,0.04,0.1,0.02,0.13,0.02,0.03,0.29,0.02,0.05,0.02,0.03,12
178,0.04,0.03,0.02,0.02,0.19,0.02,0.03,0.31,0.04,0.02,0.03,0.03,12
179,0.02,0.02,0.02,0.02,0.31,0.02,0.03,0.26,0.02,0.02,0.02,0.03,6
180,0.02,0.03,0.02,0.03,0.32,0.03,0.03,0.11,0.02,0.02,0.03,0.02,6
181,0.02,0.03,0.02,0.02,0.5,0.01,0.04,0.05,0.03,0.08,0.02,0.02,6
182,0.02,0.01,0.02,0.02,0.02,0.02,0.1,0.45,0.04,0.04,0.02,0.04,12
183,0.15,0.04,0.03,0.03,0.11,0.05,0.05,0.11,0.12,0.03,0.03,0.06,1
184,0.12,0.06,0.02,0.02,0.26,0.03,0.03,0.19,0.02,0.02,0.02,0.02,6
185,0.04,0.13,0.04,0.04,0.06,0.04,0.05,0.05,0.09,0.05,0.04,0.04,2
186,0.19,0.03,0.03,0.03,0.04,0.03,0.03,0.09,0.17,0.14,0.03,0.03,1
187,0.05,0.07,0.03,0.03,0.09,0.03,0.03,0.33,0.03,0.03,0.04,0.03,12
188,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,14
189,0.03,0.16,0.06,0.03,0.05,0.03,0.06,0.11,0.03,0.06,0.03,0.11,2
190,0.05,0.03,0.03,0.03,0.03,0.03,0.07,0.26,0.07,0.03,0.03,0.03,12
191,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.07,0.02,0.02,12
192,0.03,0.04,0.03,0.03,0.15,0.03,0.03,0.11,0.03,0.03,0.03,0.03,0
193,0.03,0.01,0.01,0.02,0.35,0.01,0.09,0.17,0.01,0.04,0.02,0.03,6
194,0.02,0.09,0.03,0.02,0.07,0.05,0.03,0.31,0.03,0.08,0.02,0.05,12
195,0.06,0.04,0.02,0.01,0.33,0.01,0.02,0.15,0.01,0.02,0.01,0.08,6
196,0.02,0.04,0.02,0.02,0.08,0.02,0.03,0.48,0.02,0.04,0.02,0.02,12
197,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.09,0.06,0.08,0.04,0.14,18
198,0.12,0.02,0.01,0.01,0.11,0.01,0.01,0.3,0.08,0.03,0.02,0.04,12
199,0.14,0.03,0.03,0.03,0.04,0.03,0.03,0.25,0.04,0.03,0.06,0.03,12
200,0.03,0.09,0.05,0.03,0.33,0.03,0.04,0.09,0.03,0.03,0.03,0.03,6
201,0.04,0.11,0.04,0.04,0.05,0.04,0.05,0.17,0.04,0.04,0.04,0.04,12
202,0.13,0.13,0.04,0.02,0.18,0.04,0.05,0.09,0.02,0.01,0.05,0.01,6
203,0.25,0.04,0.03,0.02,0.02,0.04,0.03,0.23,0.02,0.02,0.02,0.02,1
204,0.11,0.03,0.05,0.03,0.11,0.12,0.05,0.04,0.03,0.06,0.04,0.04,9
205,0.04,0.04,0.03,0.02,0.17,0.01,0.03,0.38,0.02,0.12,0.02,0.02,12
206,0.09,0.08,0.02,0.02,0.13,0.02,0.1,0.23,0.09,0.02,0.02,0.03,12
207,0.14,0.07,0.06,0.02,0.11,0.03,0.02,0.11,0.19,0.05,0.02,0.02,13
208,0.03,0.03,0.03,0.03,0.14,0.03,0.04,0.07,0.03,0.21,0.07,0.03,14
209,0.03,0.09,0.05,0.03,0.12,0.03,0.06,0.2,0.03,0.02,0.03,0.04,12
210,0.04,0.04,0.02,0.02,0.45,0.03,0.02,0.06,0.02,0.04,0.02,0.02,6
211,0.04,0.02,0.04,0.02,0.27,0.02,0.02,0.25,0.02,0.03,0.02,0.02,6
212,0.03,0.07,0.06,0.03,0.16,0.03,0.05,0.07,0.03,0.1,0.03,0.04,6
213,0.3,0.02,0.0,0.01,0.1,0.03,0.01,0.31,0.0,0.02,0.0,0.05,12
214,0.09,0.17,0.02,0.02,0.02,0.02,0.08,0.25,0.02,0.02,0.02,0.1,12
215,0.08,0.01,0.01,0.01,0.05,0.03,0.06,0.3,0.14,0.04,0.01,0.03,12
216,0.07,0.02,0.02,0.02,0.08,0.02,0.02,0.18,0.02,0.04,0.02,0.02,0
217,0.03,0.03,0.03,0.03,0.05,0.03,0.06,0.42,0.03,0.03,0.03,0.03,12
218,0.04,0.14,0.04,0.02,0.03,0.02,0.02,0.3,0.02,0.02,0.02,0.19,12
219,0.04,0.04,0.08,0.03,0.09,0.09,0.03,0.2,0.04,0.04,0.03,0.07,12
220,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.14,0.04,0.1,0.04,0.04,12
221,0.02,0.01,0.02,0.01,0.25,0.01,0.12,0.33,0.01,0.01,0.01,0.02,12
222,0.04,0.03,0.03,0.03,0.03,0.03,0.07,0.38,0.09,0.03,0.03,0.03,12
223,0.02,0.05,0.02,0.02,0.06,0.02,0.06,0.44,0.02,0.07,0.02,0.02,12
224,0.04,0.05,0.04,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.1,18
225,0.04,0.03,0.04,0.03,0.08,0.03,0.04,0.28,0.04,0.03,0.03,0.07,12
226,0.03,0.03,0.03,0.08,0.04,0.03,0.04,0.11,0.04,0.07,0.04,0.03,15
227,0.02,0.04,0.01,0.01,0.02,0.03,0.06,0.56,0.01,0.04,0.01,0.05,12
228,0.16,0.02,0.06,0.03,0.02,0.03,0.03,0.26,0.02,0.03,0.03,0.05,12
229,0.04,0.07,0.04,0.03,0.04,0.03,0.03,0.21,0.04,0.14,0.03,0.04,12
230,0.02,0.05,0.03,0.02,0.07,0.03,0.03,0.42,0.02,0.08,0.02,0.03,12
231,0.24,0.05,0.01,0.01,0.1,0.01,0.03,0.25,0.06,0.08,0.01,0.02,12
232,0.06,0.04,0.02,0.02,0.17,0.03,0.08,0.09,0.03,0.08,0.05,0.03,6
233,0.16,0.06,0.02,0.02,0.13,0.02,0.02,0.2,0.02,0.09,0.02,0.05,12
234,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.42,0.08,0.14,0.02,0.02,12
235,0.04,0.09,0.04,0.04,0.05,0.04,0.04,0.18,0.04,0.04,0.04,0.04,12
236,0.06,0.1,0.03,0.03,0.03,0.03,0.03,0.11,0.06,0.12,0.03,0.04,14
237,0.02,0.02,0.03,0.02,0.12,0.02,0.03,0.45,0.05,0.03,0.02,0.02,12
238,0.02,0.02,0.02,0.02,0.26,0.03,0.03,0.23,0.02,0.05,0.02,0.02,6
239,0.23,0.02,0.02,0.02,0.04,0.02,0.04,0.25,0.09,0.02,0.02,0.08,12
240,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.4,0.08,0.05,0.03,0.02,12
241,0.02,0.06,0.1,0.03,0.14,0.02,0.08,0.31,0.02,0.07,0.02,0.03,12
242,0.06,0.04,0.04,0.05,0.04,0.04,0.04,0.22,0.04,0.04,0.04,0.04,12
243,0.04,0.02,0.02,0.02,0.03,0.02,0.05,0.42,0.02,0.09,0.03,0.05,12
244,0.36,0.02,0.03,0.02,0.1,0.02,0.02,0.15,0.02,0.02,0.02,0.06,1
245,0.1,0.07,0.07,0.03,0.2,0.04,0.04,0.08,0.04,0.03,0.03,0.07,6
246,0.2,0.06,0.02,0.02,0.08,0.02,0.02,0.28,0.05,0.06,0.02,0.04,12
247,0.02,0.04,0.02,0.02,0.04,0.04,0.09,0.44,0.03,0.02,0.02,0.05,12
248,0.08,0.02,0.01,0.02,0.14,0.02,0.1,0.17,0.11,0.08,0.02,0.02,12
249,0.02,0.01,0.03,0.01,0.06,0.1,0.02,0.36,0.02,0.02,0.01,0.04,12
250,0.03,0.03,0.02,0.03,0.03,0.02,0.12,0.31,0.05,0.05,0.03,0.02,12
251,0.03,0.04,0.03,0.02,0.16,0.01,0.02,0.44,0.02,0.05,0.01,0.04,12
252,0.08,0.03,0.02,0.02,0.32,0.02,0.03,0.18,0.02,0.06,0.02,0.02,6
253,0.12,0.07,0.07,0.02,0.03,0.02,0.02,0.33,0.02,0.02,0.02,0.02,12
254,0.08,0.03,0.02,0.02,0.03,0.02,0.08,0.41,0.02,0.04,0.02,0.04,12
255,0.11,0.03,0.02,0.02,0.22,0.02,0.07,0.21,0.03,0.02,0.02,0.02,6
256,0.31,0.02,0.02,0.02,0.02,0.02,0.03,0.25,0.02,0.01,0.02,0.02,1
257,0.04,0.07,0.06,0.03,0.04,0.03,0.05,0.13,0.04,0.04,0.03,0.08,12
258,0.04,0.01,0.05,0.01,0.14,0.02,0.02,0.44,0.03,0.02,0.01,0.03,12
259,0.31,0.02,0.02,0.02,0.05,0.02,0.02,0.27,0.05,0.02,0.02,0.02,1
260,0.04,0.04,0.04,0.04,0.1,0.04,0.04,0.08,0.04,0.13,0.04,0.04,14
261,0.03,0.03,0.04,0.03,0.04,0.05,0.05,0.27,0.07,0.03,0.03,0.05,12
262,0.06,0.03,0.05,0.03,0.2,0.03,0.03,0.1,0.06,0.03,0.03,0.04,6
263,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.18,0.04,0.04,0.07,0.04,12
264,0.31,0.01,0.01,0.01,0.06,0.01,0.03,0.31,0.01,0.06,0.01,0.04,1
265,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.1,0.02,0.02,12
266,0.17,0.01,0.01,0.01,0.32,0.01,0.02,0.08,0.05,0.05,0.01,0.01,6
267,0.03,0.02,0.02,0.02,0.11,0.02,0.24,0.24,0.03,0.02,0.02,0.02,11
268,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.16,0.13,0.05,0.04,0.04,12
269,0.03,0.01,0.06,0.01,0.44,0.02,0.02,0.05,0.06,0.1,0.01,0.06,6
