Unnamed: 0,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
2335,0.08,0.03,0.03,0.4,12
2336,0.09,0.03,0.03,0.4,12
2337,0.06,0.67,0.01,0.08,6
2338,0.32,0.51,0.01,0.05,6
2339,0.09,0.03,0.03,0.4,12
2340,0.06,0.67,0.01,0.08,6
2341,0.32,0.51,0.01,0.05,6
2342,0.38,0.09,0.02,0.28,2
2343,0.75,0.04,0.01,0.08,2
2344,0.55,0.02,0.02,0.03,2
2345,0.56,0.04,0.01,0.24,2
2346,0.58,0.06,0.02,0.06,2
2347,0.55,0.02,0.03,0.13,2
2348,0.52,0.01,0.02,0.2,2
2349,0.26,0.04,0.04,0.06,2
2350,0.72,0.01,0.01,0.02,2
2351,0.49,0.03,0.03,0.09,2
2352,0.38,0.02,0.04,0.15,2
2353,0.28,0.03,0.02,0.28,2
2354,0.21,0.02,0.02,0.39,12
2355,0.66,0.01,0.05,0.06,2
2356,0.39,0.02,0.01,0.41,12
2357,0.33,0.02,0.01,0.38,12
2358,0.67,0.1,0.01,0.04,2
2359,0.38,0.09,0.02,0.28,2
2360,0.75,0.04,0.01,0.08,2
2361,0.55,0.02,0.02,0.03,2
2362,0.56,0.04,0.01,0.24,2
2363,0.58,0.06,0.02,0.06,2
2364,0.55,0.02,0.03,0.13,2
2365,0.52,0.01,0.02,0.2,2
2366,0.26,0.04,0.04,0.06,2
2367,0.72,0.01,0.01,0.02,2
2368,0.49,0.03,0.03,0.09,2
2369,0.38,0.02,0.04,0.15,2
2370,0.28,0.03,0.02,0.28,2
2371,0.21,0.02,0.02,0.39,12
2372,0.66,0.01,0.05,0.06,2
2373,0.39,0.02,0.01,0.41,12
2374,0.33,0.02,0.01,0.38,12
2375,0.67,0.1,0.01,0.04,2
2376,0.49,0.02,0.05,0.08,2
2377,0.47,0.03,0.02,0.06,2
2378,0.49,0.02,0.05,0.08,2
2379,0.47,0.03,0.02,0.06,2
2380,0.65,0.12,0.01,0.05,2
2381,0.28,0.02,0.03,0.37,12
2382,0.38,0.02,0.04,0.18,2
2383,0.33,0.09,0.02,0.26,2
2384,0.65,0.12,0.01,0.05,2
2385,0.28,0.02,0.03,0.37,12
2386,0.38,0.02,0.04,0.18,2
2387,0.33,0.09,0.02,0.26,2
2388,0.44,0.28,0.02,0.02,2
2389,0.63,0.02,0.02,0.03,2
2390,0.45,0.02,0.34,0.01,2
2391,0.39,0.05,0.04,0.24,2
2392,0.29,0.03,0.03,0.19,2
2393,0.59,0.02,0.02,0.06,2
2394,0.7,0.03,0.01,0.02,2
2395,0.52,0.02,0.02,0.15,2
2396,0.58,0.11,0.01,0.15,2
2397,0.64,0.01,0.01,0.13,2
2398,0.43,0.01,0.01,0.41,2
2399,0.55,0.02,0.02,0.14,2
2400,0.17,0.04,0.05,0.09,2
2401,0.43,0.02,0.02,0.13,2
2402,0.47,0.12,0.02,0.14,2
2403,0.58,0.01,0.01,0.24,2
2404,0.69,0.01,0.01,0.01,2
2405,0.72,0.02,0.01,0.02,2
2406,0.68,0.02,0.01,0.06,2
2407,0.56,0.01,0.01,0.28,2
2408,0.61,0.02,0.02,0.03,2
2409,0.49,0.02,0.19,0.02,2
2410,0.47,0.18,0.02,0.09,2
2411,0.5,0.01,0.22,0.06,2
2412,0.37,0.02,0.02,0.26,2
2413,0.67,0.01,0.01,0.12,2
2414,0.23,0.05,0.04,0.28,12
2415,0.86,0.01,0.01,0.02,2
2416,0.19,0.04,0.04,0.1,2
2417,0.19,0.03,0.03,0.18,2
2418,0.39,0.02,0.02,0.02,2
2419,0.79,0.0,0.14,0.02,2
2420,0.71,0.03,0.01,0.05,2
2421,0.44,0.28,0.02,0.02,2
2422,0.63,0.02,0.02,0.03,2
2423,0.45,0.02,0.34,0.01,2
2424,0.39,0.05,0.04,0.24,2
2425,0.29,0.03,0.03,0.19,2
2426,0.59,0.02,0.02,0.06,2
2427,0.7,0.03,0.01,0.02,2
2428,0.52,0.02,0.02,0.15,2
2429,0.58,0.11,0.01,0.15,2
2430,0.64,0.01,0.01,0.13,2
2431,0.43,0.01,0.01,0.41,2
2432,0.55,0.02,0.02,0.14,2
2433,0.17,0.04,0.05,0.09,2
2434,0.43,0.02,0.02,0.13,2
2435,0.47,0.12,0.02,0.14,2
2436,0.58,0.01,0.01,0.24,2
2437,0.69,0.01,0.01,0.01,2
2438,0.72,0.02,0.01,0.02,2
2439,0.68,0.02,0.01,0.06,2
2440,0.56,0.01,0.01,0.28,2
2441,0.61,0.02,0.02,0.03,2
2442,0.49,0.02,0.19,0.02,2
2443,0.47,0.18,0.02,0.09,2
2444,0.5,0.01,0.22,0.06,2
2445,0.37,0.02,0.02,0.26,2
2446,0.67,0.01,0.01,0.12,2
2447,0.23,0.05,0.04,0.28,12
2448,0.86,0.01,0.01,0.02,2
2449,0.19,0.04,0.04,0.1,2
2450,0.19,0.03,0.03,0.18,2
2451,0.39,0.02,0.02,0.02,2
2452,0.79,0.0,0.14,0.02,2
2453,0.71,0.03,0.01,0.05,2
2454,0.42,0.03,0.01,0.3,2
2455,0.44,0.32,0.02,0.04,2
2456,0.46,0.1,0.04,0.31,2
2457,0.33,0.01,0.05,0.37,12
2458,0.28,0.05,0.04,0.06,2
2459,0.46,0.33,0.01,0.02,2
2460,0.44,0.03,0.04,0.21,2
2461,0.42,0.05,0.03,0.25,2
2462,0.55,0.01,0.01,0.17,2
2463,0.29,0.01,0.0,0.64,12
2464,0.42,0.03,0.01,0.3,2
2465,0.44,0.32,0.02,0.04,2
2466,0.46,0.1,0.04,0.31,2
2467,0.33,0.01,0.05,0.37,12
2468,0.28,0.05,0.04,0.06,2
2469,0.46,0.33,0.01,0.02,2
2470,0.44,0.03,0.04,0.21,2
2471,0.42,0.05,0.03,0.25,2
2472,0.55,0.01,0.01,0.17,2
2473,0.29,0.01,0.0,0.64,12
2474,0.33,0.05,0.3,0.1,2
2475,0.23,0.06,0.48,0.02,8
2476,0.33,0.05,0.3,0.1,2
2477,0.23,0.06,0.48,0.02,8
2478,0.29,0.03,0.03,0.06,2
2479,0.37,0.02,0.16,0.1,2
2480,0.69,0.01,0.03,0.09,2
2481,0.32,0.12,0.03,0.03,2
2482,0.23,0.07,0.25,0.03,8
2483,0.2,0.01,0.01,0.55,12
2484,0.26,0.05,0.23,0.03,2
2485,0.31,0.02,0.21,0.26,2
2486,0.1,0.26,0.22,0.06,6
2487,0.29,0.03,0.03,0.06,2
2488,0.37,0.02,0.16,0.1,2
2489,0.69,0.01,0.03,0.09,2
2490,0.32,0.12,0.03,0.03,2
2491,0.23,0.07,0.25,0.03,8
2492,0.2,0.01,0.01,0.55,12
2493,0.26,0.05,0.23,0.03,2
2494,0.31,0.02,0.21,0.26,2
2495,0.1,0.26,0.22,0.06,6
2496,0.1,0.03,0.03,0.4,12
2497,0.31,0.41,0.02,0.02,6
2498,0.1,0.03,0.03,0.4,12
2499,0.31,0.41,0.02,0.02,6
2500,0.76,0.01,0.01,0.09,2
2501,0.7,0.01,0.02,0.07,2
2502,0.47,0.01,0.01,0.01,2
2503,0.76,0.01,0.01,0.09,2
2504,0.7,0.01,0.02,0.07,2
2505,0.47,0.01,0.01,0.01,2
2506,0.33,0.02,0.02,0.3,2
2507,0.44,0.05,0.03,0.03,2
2508,0.6,0.07,0.03,0.02,2
2509,0.5,0.19,0.02,0.02,2
2510,0.61,0.02,0.02,0.03,2
2511,0.4,0.38,0.01,0.02,2
2512,0.71,0.02,0.01,0.03,2
2513,0.6,0.24,0.01,0.05,2
2514,0.33,0.02,0.02,0.3,2
2515,0.44,0.05,0.03,0.03,2
2516,0.6,0.07,0.03,0.02,2
2517,0.5,0.19,0.02,0.02,2
2518,0.61,0.02,0.02,0.03,2
2519,0.4,0.38,0.01,0.02,2
2520,0.71,0.02,0.01,0.03,2
2521,0.6,0.24,0.01,0.05,2
2522,0.86,0.01,0.01,0.02,2
2523,0.72,0.16,0.01,0.02,2
2524,0.74,0.01,0.15,0.03,2
2525,0.66,0.02,0.02,0.02,2
2526,0.6,0.05,0.02,0.03,2
2527,0.58,0.02,0.01,0.18,2
2528,0.58,0.01,0.01,0.16,2
2529,0.24,0.03,0.03,0.28,12
2530,0.49,0.02,0.16,0.05,2
2531,0.48,0.03,0.1,0.07,2
2532,0.36,0.02,0.24,0.2,2
2533,0.3,0.26,0.01,0.19,2
2534,0.06,0.67,0.01,0.08,6
2535,0.19,0.03,0.03,0.24,12
2536,0.18,0.18,0.03,0.05,2
2537,0.7,0.03,0.01,0.12,2
2538,0.32,0.13,0.02,0.26,2
2539,0.11,0.02,0.02,0.62,12
2540,0.46,0.21,0.04,0.02,2
2541,0.12,0.03,0.03,0.39,12
2542,0.24,0.04,0.03,0.24,2
2543,0.55,0.06,0.02,0.02,2
2544,0.62,0.07,0.02,0.02,2
2545,0.26,0.02,0.01,0.5,12
2546,0.56,0.02,0.06,0.12,2
2547,0.22,0.04,0.04,0.13,2
2548,0.49,0.03,0.05,0.03,2
2549,0.67,0.07,0.04,0.12,2
2550,0.81,0.0,0.01,0.11,2
2551,0.64,0.01,0.03,0.22,2
2552,0.61,0.2,0.01,0.02,2
2553,0.1,0.04,0.05,0.13,12
2554,0.47,0.03,0.05,0.16,2
2555,0.72,0.04,0.06,0.02,2
2556,0.5,0.02,0.02,0.17,2
2557,0.76,0.03,0.02,0.01,2
2558,0.26,0.06,0.08,0.05,2
2559,0.57,0.18,0.01,0.03,2
2560,0.53,0.1,0.02,0.05,2
2561,0.83,0.01,0.01,0.02,2
2562,0.64,0.02,0.03,0.09,2
2563,0.71,0.05,0.01,0.03,2
2564,0.63,0.02,0.02,0.02,2
2565,0.53,0.09,0.02,0.05,2
2566,0.77,0.05,0.01,0.01,2
2567,0.57,0.02,0.2,0.1,2
2568,0.27,0.02,0.02,0.33,12
2569,0.33,0.1,0.03,0.04,2
2570,0.23,0.02,0.02,0.4,12
2571,0.38,0.05,0.03,0.04,2
2572,0.59,0.07,0.02,0.08,2
2573,0.39,0.01,0.01,0.48,12
2574,0.72,0.02,0.02,0.03,2
2575,0.66,0.02,0.06,0.02,2
2576,0.26,0.02,0.02,0.39,12
2577,0.59,0.17,0.01,0.01,2
2578,0.57,0.07,0.02,0.02,2
2579,0.31,0.04,0.02,0.35,12
2580,0.7,0.02,0.02,0.06,2
2581,0.72,0.01,0.01,0.09,2
2582,0.33,0.03,0.03,0.14,2
2583,0.53,0.06,0.01,0.22,2
2584,0.54,0.22,0.01,0.02,2
2585,0.72,0.02,0.01,0.01,2
2586,0.64,0.02,0.02,0.02,2
2587,0.65,0.04,0.02,0.02,2
2588,0.26,0.02,0.02,0.47,12
2589,0.51,0.03,0.03,0.05,2
2590,0.77,0.01,0.01,0.04,2
2591,0.63,0.03,0.02,0.06,2
2592,0.53,0.02,0.02,0.11,2
2593,0.52,0.01,0.01,0.27,2
2594,0.27,0.05,0.03,0.15,2
2595,0.49,0.09,0.02,0.13,2
2596,0.57,0.01,0.01,0.29,2
2597,0.11,0.02,0.02,0.54,12
2598,0.7,0.01,0.01,0.09,2
2599,0.58,0.12,0.02,0.05,2
2600,0.56,0.02,0.02,0.15,2
2601,0.52,0.01,0.01,0.3,2
2602,0.67,0.01,0.01,0.11,2
2603,0.72,0.02,0.02,0.09,2
2604,0.55,0.01,0.01,0.19,2
2605,0.33,0.16,0.03,0.04,2
2606,0.66,0.01,0.01,0.22,2
2607,0.65,0.02,0.02,0.03,2
2608,0.62,0.01,0.01,0.16,2
2609,0.4,0.2,0.03,0.04,2
2610,0.41,0.02,0.02,0.28,2
2611,0.56,0.01,0.01,0.21,2
2612,0.44,0.03,0.03,0.41,2
2613,0.51,0.02,0.02,0.16,2
2614,0.2,0.03,0.03,0.29,12
2615,0.75,0.02,0.01,0.08,2
2616,0.37,0.03,0.03,0.12,2
2617,0.46,0.02,0.02,0.15,2
2618,0.74,0.02,0.01,0.07,2
2619,0.22,0.03,0.03,0.3,12
2620,0.39,0.03,0.05,0.12,2
