Unnamed: 0,1: Halo 2,2: Limited Editions,3: Madden,8: Controller,9: Kinect,Dom_Topic
11726,0.72,0.03,0.06,0.03,0.03,1
11727,0.56,0.04,0.12,0.06,0.04,1
11728,0.85,0.01,0.04,0.02,0.02,1
11730,0.56,0.04,0.07,0.07,0.04,1
11731,0.58,0.01,0.31,0.02,0.02,1
11732,0.44,0.04,0.08,0.06,0.22,1
11733,0.83,0.01,0.06,0.01,0.02,1
11734,0.35,0.06,0.09,0.07,0.06,1
11735,0.85,0.01,0.04,0.02,0.01,1
11736,0.51,0.04,0.12,0.06,0.08,1
11737,0.48,0.05,0.1,0.07,0.04,1
11738,0.36,0.06,0.14,0.08,0.06,1
11739,0.63,0.04,0.1,0.04,0.03,1
11742,0.55,0.05,0.06,0.08,0.04,1
11743,0.63,0.03,0.06,0.07,0.03,1
11744,0.81,0.02,0.03,0.03,0.02,1
11748,0.89,0.01,0.01,0.05,0.01,1
11751,0.72,0.03,0.08,0.03,0.02,1
11754,0.5,0.05,0.15,0.06,0.04,1
11755,0.35,0.06,0.15,0.09,0.06,1
11757,0.49,0.06,0.08,0.09,0.05,1
11758,0.68,0.03,0.1,0.02,0.03,1
11759,0.83,0.02,0.03,0.02,0.02,1
11760,0.59,0.03,0.06,0.16,0.03,1
11762,0.26,0.02,0.03,0.56,0.02,8
11763,0.74,0.03,0.04,0.03,0.03,1
11765,0.42,0.03,0.11,0.05,0.03,1
11767,0.22,0.09,0.14,0.08,0.08,1
11768,0.85,0.01,0.03,0.02,0.02,1
11770,0.27,0.03,0.04,0.04,0.45,9
11771,0.82,0.02,0.03,0.02,0.02,1
11772,0.93,0.01,0.01,0.01,0.01,1
11774,0.5,0.05,0.07,0.05,0.06,1
11776,0.54,0.03,0.21,0.05,0.03,1
11777,0.82,0.02,0.03,0.03,0.02,1
11778,0.51,0.05,0.07,0.05,0.07,1
11779,0.42,0.05,0.1,0.06,0.06,1
11780,0.28,0.06,0.17,0.11,0.06,1
11782,0.57,0.04,0.07,0.04,0.05,1
11784,0.51,0.02,0.28,0.04,0.02,1
11786,0.55,0.03,0.11,0.11,0.03,1
11787,0.72,0.03,0.06,0.03,0.03,1
11788,0.56,0.04,0.12,0.06,0.04,1
11789,0.85,0.01,0.04,0.02,0.02,1
11791,0.56,0.04,0.07,0.07,0.04,1
11792,0.58,0.01,0.31,0.02,0.02,1
11793,0.44,0.04,0.08,0.06,0.22,1
11794,0.83,0.01,0.06,0.01,0.02,1
11795,0.35,0.06,0.09,0.07,0.06,1
11796,0.85,0.01,0.04,0.02,0.01,1
11797,0.51,0.04,0.12,0.06,0.08,1
11798,0.48,0.05,0.1,0.07,0.04,1
11799,0.36,0.06,0.14,0.08,0.06,1
11800,0.63,0.04,0.1,0.04,0.03,1
11803,0.55,0.05,0.06,0.08,0.04,1
11858,0.08,0.03,0.74,0.03,0.02,3
11859,0.06,0.02,0.84,0.02,0.01,3
11860,0.03,0.01,0.86,0.02,0.01,3
11861,0.21,0.09,0.3,0.07,0.05,3
11862,0.17,0.03,0.62,0.03,0.03,3
11865,0.18,0.07,0.31,0.1,0.06,3
11866,0.04,0.02,0.77,0.03,0.02,3
11867,0.1,0.06,0.56,0.05,0.04,3
11868,0.05,0.03,0.72,0.04,0.03,3
11870,0.03,0.02,0.76,0.06,0.02,3
11871,0.09,0.06,0.43,0.08,0.06,3
11872,0.07,0.02,0.78,0.03,0.02,3
11873,0.25,0.03,0.47,0.06,0.03,3
11874,0.12,0.05,0.44,0.07,0.05,3
11876,0.08,0.06,0.48,0.06,0.05,3
11877,0.02,0.02,0.86,0.02,0.01,3
11878,0.07,0.04,0.58,0.05,0.04,3
11880,0.13,0.05,0.44,0.07,0.05,3
11881,0.01,0.01,0.93,0.01,0.01,3
11882,0.14,0.07,0.38,0.07,0.06,3
11883,0.19,0.06,0.28,0.11,0.06,3
11884,0.02,0.01,0.91,0.01,0.01,3
11885,0.01,0.01,0.92,0.01,0.01,3
11886,0.13,0.06,0.42,0.07,0.05,3
11888,0.12,0.05,0.47,0.05,0.06,3
11889,0.08,0.03,0.74,0.03,0.02,3
11890,0.06,0.02,0.84,0.02,0.01,3
11891,0.03,0.01,0.86,0.02,0.01,3
11892,0.21,0.09,0.3,0.07,0.05,3
11893,0.17,0.03,0.62,0.03,0.03,3
11896,0.18,0.07,0.31,0.1,0.06,3
11897,0.04,0.02,0.77,0.03,0.02,3
11898,0.1,0.06,0.56,0.05,0.04,3
11899,0.05,0.03,0.72,0.04,0.03,3
11901,0.03,0.02,0.76,0.06,0.02,3
11902,0.09,0.06,0.43,0.08,0.06,3
11903,0.07,0.02,0.78,0.03,0.02,3
11904,0.25,0.03,0.47,0.06,0.03,3
11905,0.12,0.05,0.44,0.07,0.05,3
11907,0.08,0.06,0.48,0.06,0.05,3
11908,0.02,0.02,0.86,0.02,0.01,3
11909,0.07,0.04,0.58,0.05,0.04,3
11911,0.13,0.05,0.44,0.07,0.05,3
11912,0.01,0.01,0.93,0.01,0.01,3
11913,0.14,0.07,0.38,0.07,0.06,3
11914,0.19,0.06,0.28,0.11,0.06,3
11915,0.02,0.01,0.91,0.01,0.01,3
11916,0.01,0.01,0.92,0.01,0.01,3
11917,0.13,0.06,0.42,0.07,0.05,3
11919,0.12,0.05,0.47,0.05,0.06,3
11920,0.16,0.03,0.17,0.06,0.03,7
11921,0.3,0.06,0.17,0.1,0.06,1
11924,0.24,0.1,0.14,0.07,0.07,1
11926,0.43,0.02,0.05,0.03,0.02,1
11931,0.16,0.03,0.17,0.06,0.03,7
11932,0.3,0.06,0.17,0.1,0.06,1
11935,0.24,0.1,0.14,0.07,0.07,1
11937,0.43,0.02,0.05,0.03,0.02,1
12754,0.12,0.02,0.68,0.08,0.02,3
12756,0.47,0.04,0.14,0.06,0.05,1
12757,0.28,0.06,0.18,0.11,0.06,1
12758,0.21,0.04,0.48,0.04,0.03,3
12761,0.19,0.06,0.36,0.1,0.05,3
12764,0.12,0.02,0.68,0.08,0.02,3
12766,0.47,0.04,0.14,0.06,0.05,1
12767,0.28,0.06,0.18,0.11,0.06,1
12768,0.21,0.04,0.48,0.04,0.03,3
12771,0.19,0.06,0.36,0.1,0.05,3
13714,0.49,0.04,0.14,0.05,0.05,1
13716,0.41,0.07,0.17,0.05,0.06,1
13718,0.18,0.09,0.16,0.09,0.08,1
13721,0.23,0.07,0.12,0.08,0.12,1
13723,0.7,0.03,0.06,0.03,0.03,1
13735,0.49,0.04,0.14,0.05,0.05,1
13737,0.41,0.07,0.17,0.05,0.06,1
13739,0.18,0.09,0.16,0.09,0.08,1
13742,0.23,0.07,0.12,0.08,0.12,1
13744,0.7,0.03,0.06,0.03,0.03,1
14694,0.08,0.03,0.68,0.04,0.03,3
14695,0.2,0.04,0.5,0.05,0.04,3
14697,0.03,0.01,0.85,0.03,0.01,3
14700,0.14,0.08,0.21,0.09,0.08,3
14702,0.22,0.03,0.53,0.04,0.03,3
14704,0.08,0.03,0.68,0.04,0.03,3
14705,0.2,0.04,0.5,0.05,0.04,3
14707,0.03,0.01,0.85,0.03,0.01,3
14710,0.14,0.08,0.21,0.09,0.08,3
14712,0.22,0.03,0.53,0.04,0.03,3
15508,0.28,0.04,0.15,0.26,0.04,1
15509,0.87,0.01,0.02,0.02,0.01,1
15510,0.79,0.02,0.03,0.03,0.02,1
15512,0.5,0.05,0.06,0.06,0.05,1
15513,0.5,0.03,0.05,0.04,0.2,1
15514,0.83,0.02,0.03,0.03,0.02,1
15515,0.88,0.01,0.02,0.02,0.01,1
15516,0.51,0.04,0.14,0.05,0.04,1
15517,0.6,0.03,0.07,0.07,0.04,1
15518,0.64,0.03,0.08,0.04,0.03,1
15519,0.53,0.04,0.12,0.07,0.04,1
15522,0.6,0.04,0.07,0.04,0.05,1
15523,0.8,0.02,0.04,0.03,0.02,1
15524,0.51,0.05,0.09,0.05,0.05,1
15525,0.37,0.06,0.1,0.08,0.07,1
15526,0.88,0.01,0.02,0.02,0.01,1
15527,0.19,0.02,0.21,0.03,0.02,7
15528,0.58,0.04,0.06,0.04,0.03,1
15529,0.8,0.02,0.03,0.03,0.02,1
15530,0.85,0.02,0.02,0.02,0.02,1
15531,0.37,0.07,0.11,0.08,0.06,1
15532,0.28,0.04,0.15,0.26,0.04,1
15533,0.87,0.01,0.02,0.02,0.01,1
15534,0.79,0.02,0.03,0.03,0.02,1
15536,0.5,0.05,0.06,0.06,0.05,1
15537,0.5,0.03,0.05,0.04,0.2,1
15538,0.83,0.02,0.03,0.03,0.02,1
15539,0.88,0.01,0.02,0.02,0.01,1
15540,0.51,0.04,0.14,0.05,0.04,1
15541,0.6,0.03,0.07,0.07,0.04,1
15542,0.64,0.03,0.08,0.04,0.03,1
15543,0.53,0.04,0.12,0.07,0.04,1
15546,0.6,0.04,0.07,0.04,0.05,1
15547,0.8,0.02,0.04,0.03,0.02,1
15548,0.51,0.05,0.09,0.05,0.05,1
15549,0.37,0.06,0.1,0.08,0.07,1
15550,0.88,0.01,0.02,0.02,0.01,1
15551,0.19,0.02,0.21,0.03,0.02,7
15552,0.58,0.04,0.06,0.04,0.03,1
15553,0.8,0.02,0.03,0.03,0.02,1
15554,0.85,0.02,0.02,0.02,0.02,1
15555,0.37,0.07,0.11,0.08,0.06,1
16990,0.03,0.01,0.88,0.02,0.01,3
16991,0.29,0.03,0.38,0.12,0.04,3
16992,0.07,0.02,0.77,0.02,0.02,3
16993,0.04,0.01,0.88,0.01,0.01,3
16994,0.05,0.02,0.78,0.02,0.02,3
16995,0.02,0.01,0.92,0.01,0.01,3
16996,0.1,0.02,0.72,0.04,0.02,3
16997,0.05,0.03,0.73,0.03,0.03,3
16998,0.13,0.04,0.57,0.05,0.04,3
17000,0.11,0.06,0.45,0.08,0.05,3
17001,0.03,0.01,0.88,0.02,0.01,3
17002,0.29,0.03,0.38,0.12,0.04,3
17003,0.07,0.02,0.77,0.02,0.02,3
17004,0.04,0.01,0.88,0.01,0.01,3
17005,0.05,0.02,0.78,0.02,0.02,3
