Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Dom_Topic
41776,0.03,0.12,0.03,0.07,0.05,0.07,0.05,0.03,0.03,0.08,0.04,0.03,0.04,0.16,0.06,0.03,0.03,0.03,0.03,13
41777,0.03,0.14,0.03,0.04,0.13,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.15,0.03,0.08,0.03,0.03,0.03,0.03,12
41778,0.04,0.06,0.02,0.22,0.06,0.02,0.01,0.02,0.04,0.06,0.04,0.03,0.04,0.16,0.06,0.06,0.02,0.02,0.02,3
41779,0.06,0.03,0.03,0.04,0.06,0.03,0.09,0.03,0.12,0.16,0.06,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.03,9
41780,0.14,0.11,0.02,0.28,0.04,0.02,0.04,0.02,0.02,0.03,0.02,0.05,0.04,0.03,0.05,0.03,0.02,0.02,0.02,3
41781,0.04,0.08,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.05,0.03,0.05,0.05,0.29,0.03,0.07,0.03,0.03,0.03,13
41782,0.04,0.2,0.03,0.06,0.04,0.03,0.06,0.03,0.03,0.12,0.03,0.03,0.03,0.03,0.1,0.03,0.03,0.03,0.03,1
41783,0.03,0.12,0.03,0.14,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.14,0.14,0.04,0.03,0.03,0.03,3
41784,0.05,0.08,0.03,0.2,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.17,0.03,0.03,0.03,0.03,0.03,0.06,3
41785,0.05,0.1,0.04,0.06,0.05,0.04,0.03,0.04,0.04,0.12,0.04,0.09,0.03,0.06,0.03,0.03,0.04,0.04,0.09,9
41786,0.19,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.07,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0
41787,0.04,0.03,0.03,0.14,0.04,0.03,0.03,0.03,0.03,0.05,0.03,0.1,0.08,0.07,0.14,0.03,0.03,0.03,0.03,3
41788,0.02,0.13,0.01,0.26,0.02,0.01,0.07,0.01,0.01,0.06,0.01,0.02,0.04,0.21,0.05,0.02,0.01,0.01,0.03,3
41789,0.17,0.04,0.01,0.37,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.15,0.01,0.01,0.01,0.01,0.01,3
41790,0.04,0.05,0.08,0.05,0.06,0.03,0.03,0.08,0.03,0.03,0.03,0.1,0.03,0.03,0.18,0.03,0.03,0.03,0.03,14
41791,0.04,0.07,0.03,0.03,0.04,0.03,0.04,0.03,0.06,0.13,0.03,0.07,0.03,0.11,0.09,0.06,0.03,0.03,0.06,9
43297,0.02,0.08,0.02,0.09,0.07,0.06,0.05,0.02,0.02,0.02,0.02,0.06,0.17,0.21,0.02,0.02,0.02,0.02,0.02,13
43298,0.02,0.08,0.02,0.09,0.07,0.06,0.05,0.02,0.02,0.02,0.02,0.06,0.17,0.21,0.02,0.02,0.02,0.02,0.02,13
43299,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.16,0.04,0.05,0.05,0.04,14
43300,0.16,0.03,0.02,0.14,0.02,0.02,0.01,0.02,0.02,0.34,0.02,0.02,0.05,0.02,0.05,0.03,0.02,0.02,0.02,9
43301,0.04,0.04,0.04,0.06,0.1,0.04,0.04,0.07,0.05,0.06,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,12
43302,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.16,0.04,0.05,0.05,0.04,14
43303,0.16,0.03,0.02,0.14,0.02,0.02,0.01,0.02,0.02,0.34,0.02,0.02,0.05,0.02,0.05,0.03,0.02,0.02,0.02,9
43304,0.04,0.04,0.04,0.06,0.1,0.04,0.04,0.07,0.05,0.06,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,12
43305,0.31,0.01,0.02,0.15,0.18,0.01,0.09,0.01,0.01,0.05,0.01,0.01,0.01,0.09,0.01,0.04,0.01,0.01,0.01,0
43306,0.02,0.06,0.02,0.04,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.19,0.19,0.02,0.07,0.04,0.02,0.02,0.02,11
43307,0.17,0.03,0.02,0.1,0.07,0.04,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.04,6
43308,0.19,0.01,0.02,0.18,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.35,0.01,0.05,0.01,0.01,0.01,13
43309,0.01,0.02,0.01,0.03,0.4,0.04,0.14,0.01,0.02,0.03,0.02,0.01,0.08,0.02,0.07,0.04,0.01,0.01,0.01,4
43310,0.31,0.01,0.02,0.15,0.18,0.01,0.09,0.01,0.01,0.05,0.01,0.01,0.01,0.09,0.01,0.04,0.01,0.01,0.01,0
43311,0.02,0.06,0.02,0.04,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.19,0.19,0.02,0.07,0.04,0.02,0.02,0.02,11
43312,0.17,0.03,0.02,0.1,0.07,0.04,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.04,6
43313,0.19,0.01,0.02,0.18,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.35,0.01,0.05,0.01,0.01,0.01,13
43314,0.01,0.02,0.01,0.03,0.4,0.04,0.14,0.01,0.02,0.03,0.02,0.01,0.08,0.02,0.07,0.04,0.01,0.01,0.01,4
43315,0.07,0.04,0.01,0.09,0.48,0.01,0.04,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.05,0.03,0.01,0.01,0.01,4
43316,0.07,0.04,0.01,0.09,0.48,0.01,0.04,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.05,0.03,0.01,0.01,0.01,4
43317,0.04,0.03,0.03,0.09,0.03,0.04,0.08,0.04,0.04,0.13,0.04,0.03,0.03,0.13,0.03,0.08,0.04,0.04,0.03,9
43318,0.17,0.1,0.03,0.25,0.05,0.02,0.02,0.02,0.03,0.09,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,3
43319,0.04,0.03,0.03,0.09,0.03,0.04,0.08,0.04,0.04,0.13,0.04,0.03,0.03,0.13,0.03,0.08,0.04,0.04,0.03,9
43320,0.17,0.1,0.03,0.25,0.05,0.02,0.02,0.02,0.03,0.09,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,3
43321,0.07,0.04,0.08,0.03,0.02,0.01,0.23,0.01,0.04,0.02,0.01,0.02,0.04,0.24,0.04,0.04,0.01,0.01,0.01,13
43322,0.01,0.03,0.01,0.14,0.03,0.01,0.08,0.01,0.01,0.01,0.01,0.04,0.02,0.02,0.01,0.52,0.01,0.01,0.01,15
43323,0.07,0.04,0.08,0.03,0.02,0.01,0.23,0.01,0.04,0.02,0.01,0.02,0.04,0.24,0.04,0.04,0.01,0.01,0.01,13
43324,0.01,0.03,0.01,0.14,0.03,0.01,0.08,0.01,0.01,0.01,0.01,0.04,0.02,0.02,0.01,0.52,0.01,0.01,0.01,15
43325,0.1,0.08,0.14,0.06,0.17,0.03,0.08,0.03,0.03,0.08,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,4
43326,0.04,0.02,0.02,0.03,0.3,0.02,0.19,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.09,0.05,0.02,0.02,0.02,4
43327,0.1,0.16,0.02,0.08,0.05,0.02,0.08,0.03,0.03,0.02,0.03,0.02,0.1,0.1,0.02,0.02,0.03,0.03,0.06,1
43328,0.15,0.02,0.02,0.03,0.12,0.03,0.03,0.05,0.03,0.04,0.06,0.03,0.14,0.12,0.02,0.05,0.03,0.03,0.02,0
43329,0.05,0.01,0.01,0.27,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.38,0.02,0.02,0.01,0.01,0.03,13
43330,0.03,0.04,0.01,0.07,0.5,0.01,0.19,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,4
43331,0.06,0.02,0.02,0.07,0.05,0.02,0.13,0.02,0.02,0.06,0.02,0.01,0.18,0.2,0.03,0.04,0.02,0.02,0.03,13
43332,0.03,0.07,0.02,0.15,0.15,0.02,0.04,0.05,0.02,0.05,0.02,0.02,0.08,0.05,0.07,0.06,0.02,0.02,0.05,3
43333,0.1,0.08,0.14,0.06,0.17,0.03,0.08,0.03,0.03,0.08,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,4
43334,0.04,0.02,0.02,0.03,0.3,0.02,0.19,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.09,0.05,0.02,0.02,0.02,4
43335,0.1,0.16,0.02,0.08,0.05,0.02,0.08,0.03,0.03,0.02,0.03,0.02,0.1,0.1,0.02,0.02,0.03,0.03,0.06,1
43336,0.15,0.02,0.02,0.03,0.12,0.03,0.03,0.05,0.03,0.04,0.06,0.03,0.14,0.12,0.02,0.05,0.03,0.03,0.02,0
43337,0.05,0.01,0.01,0.27,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.38,0.02,0.02,0.01,0.01,0.03,13
43338,0.03,0.04,0.01,0.07,0.5,0.01,0.19,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,4
43339,0.06,0.02,0.02,0.07,0.05,0.02,0.13,0.02,0.02,0.06,0.02,0.01,0.18,0.2,0.03,0.04,0.02,0.02,0.03,13
43340,0.03,0.07,0.02,0.15,0.15,0.02,0.04,0.05,0.02,0.05,0.02,0.02,0.08,0.05,0.07,0.06,0.02,0.02,0.05,3
43341,0.02,0.13,0.04,0.04,0.08,0.02,0.07,0.02,0.02,0.1,0.02,0.04,0.12,0.14,0.04,0.02,0.02,0.02,0.04,13
43342,0.02,0.11,0.02,0.04,0.07,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.16,0.23,0.07,0.02,0.02,0.02,0.02,13
43343,0.02,0.02,0.02,0.26,0.15,0.04,0.09,0.02,0.02,0.07,0.02,0.02,0.12,0.04,0.01,0.04,0.02,0.02,0.02,3
43344,0.08,0.05,0.01,0.21,0.17,0.03,0.11,0.01,0.01,0.07,0.01,0.01,0.01,0.12,0.02,0.01,0.01,0.01,0.03,3
43345,0.11,0.13,0.02,0.03,0.17,0.02,0.13,0.07,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.06,4
43346,0.02,0.08,0.01,0.13,0.28,0.01,0.18,0.01,0.01,0.05,0.01,0.04,0.03,0.05,0.05,0.01,0.01,0.01,0.01,4
43347,0.23,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0
43348,0.02,0.1,0.02,0.04,0.07,0.02,0.06,0.02,0.02,0.05,0.02,0.02,0.09,0.3,0.04,0.08,0.02,0.02,0.02,13
43349,0.08,0.03,0.03,0.16,0.12,0.03,0.03,0.04,0.03,0.03,0.03,0.05,0.06,0.06,0.03,0.03,0.04,0.03,0.06,3
43350,0.02,0.06,0.02,0.06,0.18,0.02,0.11,0.02,0.02,0.06,0.02,0.02,0.1,0.14,0.03,0.07,0.02,0.02,0.02,4
43351,0.13,0.01,0.01,0.04,0.52,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.06,0.01,0.02,0.05,0.01,0.01,0.01,4
43352,0.05,0.13,0.04,0.05,0.05,0.04,0.09,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
43353,0.21,0.03,0.03,0.23,0.06,0.01,0.06,0.01,0.01,0.05,0.01,0.05,0.04,0.09,0.05,0.01,0.01,0.01,0.01,3
43354,0.09,0.02,0.02,0.3,0.12,0.02,0.06,0.02,0.02,0.02,0.02,0.03,0.02,0.11,0.02,0.04,0.02,0.02,0.02,3
43355,0.04,0.05,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.11,0.04,0.04,0.16,0.04,0.04,0.04,0.04,14
43356,0.03,0.11,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.06,0.04,0.03,0.04,0.04,0.26,0.03,0.03,0.03,0.03,14
43357,0.04,0.06,0.04,0.03,0.06,0.04,0.03,0.04,0.04,0.13,0.04,0.1,0.1,0.03,0.1,0.03,0.04,0.04,0.03,9
43358,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
43359,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.05,0.05,6
43360,0.06,0.02,0.02,0.03,0.11,0.02,0.07,0.02,0.02,0.34,0.02,0.04,0.04,0.02,0.04,0.05,0.02,0.02,0.02,9
43361,0.06,0.02,0.02,0.03,0.11,0.02,0.07,0.02,0.02,0.34,0.02,0.04,0.04,0.02,0.04,0.05,0.02,0.02,0.02,9
43362,0.06,0.07,0.03,0.11,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.11,0.21,0.05,0.05,0.03,0.03,0.03,13
43363,0.27,0.02,0.02,0.12,0.14,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.07,0.03,0.02,0.04,0.02,0.02,0.03,0
43364,0.07,0.04,0.02,0.18,0.08,0.02,0.18,0.02,0.02,0.05,0.02,0.13,0.02,0.03,0.04,0.02,0.02,0.02,0.02,3
43365,0.11,0.05,0.02,0.03,0.14,0.01,0.12,0.01,0.02,0.01,0.01,0.04,0.05,0.27,0.05,0.01,0.01,0.01,0.02,13
43366,0.06,0.07,0.03,0.11,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.11,0.21,0.05,0.05,0.03,0.03,0.03,13
43367,0.27,0.02,0.02,0.12,0.14,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.07,0.03,0.02,0.04,0.02,0.02,0.03,0
43368,0.07,0.04,0.02,0.18,0.08,0.02,0.18,0.02,0.02,0.05,0.02,0.13,0.02,0.03,0.04,0.02,0.02,0.02,0.02,3
43369,0.11,0.05,0.02,0.03,0.14,0.01,0.12,0.01,0.02,0.01,0.01,0.04,0.05,0.27,0.05,0.01,0.01,0.01,0.02,13
43370,0.01,0.08,0.01,0.33,0.17,0.01,0.03,0.01,0.01,0.06,0.01,0.05,0.06,0.07,0.03,0.01,0.01,0.01,0.01,3
43371,0.01,0.08,0.01,0.33,0.17,0.01,0.03,0.01,0.01,0.06,0.01,0.05,0.06,0.07,0.03,0.01,0.01,0.01,0.01,3
43372,0.02,0.02,0.02,0.15,0.04,0.02,0.05,0.02,0.02,0.02,0.02,0.11,0.14,0.17,0.09,0.06,0.02,0.02,0.02,13
43373,0.02,0.07,0.01,0.1,0.07,0.01,0.38,0.02,0.01,0.02,0.01,0.01,0.05,0.07,0.06,0.01,0.01,0.01,0.03,6
43374,0.03,0.1,0.03,0.03,0.04,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.26,0.09,0.03,0.03,0.03,0.03,0.03,12
43375,0.38,0.02,0.0,0.18,0.19,0.0,0.08,0.0,0.01,0.01,0.01,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0
43376,0.08,0.07,0.03,0.04,0.03,0.03,0.19,0.03,0.03,0.03,0.03,0.19,0.03,0.03,0.03,0.03,0.03,0.03,0.03,6
43377,0.03,0.05,0.0,0.01,0.41,0.0,0.27,0.01,0.0,0.04,0.0,0.02,0.05,0.06,0.01,0.01,0.0,0.0,0.01,4
43378,0.02,0.11,0.02,0.11,0.2,0.02,0.24,0.02,0.02,0.01,0.02,0.01,0.11,0.03,0.01,0.02,0.02,0.02,0.02,6
43379,0.06,0.05,0.02,0.04,0.09,0.02,0.31,0.02,0.02,0.12,0.02,0.04,0.02,0.02,0.06,0.02,0.02,0.02,0.03,6
43380,0.35,0.09,0.01,0.02,0.04,0.01,0.21,0.03,0.01,0.01,0.01,0.06,0.01,0.05,0.01,0.04,0.01,0.01,0.01,0
43381,0.04,0.02,0.01,0.18,0.36,0.01,0.08,0.01,0.01,0.02,0.01,0.03,0.03,0.04,0.08,0.03,0.01,0.01,0.01,4
43382,0.02,0.06,0.03,0.1,0.09,0.02,0.33,0.01,0.01,0.05,0.01,0.07,0.03,0.09,0.01,0.01,0.01,0.01,0.01,6
43383,0.15,0.1,0.01,0.03,0.13,0.01,0.34,0.01,0.01,0.02,0.01,0.02,0.02,0.04,0.01,0.03,0.01,0.01,0.01,6
43384,0.02,0.04,0.02,0.02,0.16,0.02,0.4,0.02,0.02,0.04,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.02,6
43385,0.02,0.22,0.02,0.09,0.14,0.02,0.05,0.02,0.02,0.04,0.02,0.02,0.1,0.12,0.02,0.06,0.02,0.02,0.02,1
43386,0.24,0.01,0.01,0.33,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,3
43387,0.02,0.11,0.01,0.13,0.28,0.01,0.13,0.01,0.01,0.03,0.01,0.02,0.02,0.11,0.02,0.03,0.01,0.01,0.02,4
43388,0.02,0.07,0.02,0.04,0.3,0.02,0.26,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.04,0.02,0.02,0.02,4
43389,0.04,0.08,0.04,0.08,0.06,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.14,0.03,0.04,0.04,0.04,0.04,13
43390,0.02,0.02,0.02,0.15,0.04,0.02,0.05,0.02,0.02,0.02,0.02,0.11,0.14,0.17,0.09,0.06,0.02,0.02,0.02,13
43391,0.02,0.07,0.01,0.1,0.07,0.01,0.38,0.02,0.01,0.02,0.01,0.01,0.05,0.07,0.06,0.01,0.01,0.01,0.03,6
43392,0.03,0.1,0.03,0.03,0.04,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.26,0.09,0.03,0.03,0.03,0.03,0.03,12
43393,0.38,0.02,0.0,0.18,0.19,0.0,0.08,0.0,0.01,0.01,0.01,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0
43394,0.08,0.07,0.03,0.04,0.03,0.03,0.19,0.03,0.03,0.03,0.03,0.19,0.03,0.03,0.03,0.03,0.03,0.03,0.03,6
43395,0.03,0.05,0.0,0.01,0.41,0.0,0.27,0.01,0.0,0.04,0.0,0.02,0.05,0.06,0.01,0.01,0.0,0.0,0.01,4
43396,0.02,0.11,0.02,0.11,0.2,0.02,0.24,0.02,0.02,0.01,0.02,0.01,0.11,0.03,0.01,0.02,0.02,0.02,0.02,6
43397,0.06,0.05,0.02,0.04,0.09,0.02,0.31,0.02,0.02,0.12,0.02,0.04,0.02,0.02,0.06,0.02,0.02,0.02,0.03,6
43398,0.35,0.09,0.01,0.02,0.04,0.01,0.21,0.03,0.01,0.01,0.01,0.06,0.01,0.05,0.01,0.04,0.01,0.01,0.01,0
43399,0.04,0.02,0.01,0.18,0.36,0.01,0.08,0.01,0.01,0.02,0.01,0.03,0.03,0.04,0.08,0.03,0.01,0.01,0.01,4
43400,0.02,0.06,0.03,0.1,0.09,0.02,0.33,0.01,0.01,0.05,0.01,0.07,0.03,0.09,0.01,0.01,0.01,0.01,0.01,6
43401,0.15,0.1,0.01,0.03,0.13,0.01,0.34,0.01,0.01,0.02,0.01,0.02,0.02,0.04,0.01,0.03,0.01,0.01,0.01,6
43402,0.02,0.04,0.02,0.02,0.16,0.02,0.4,0.02,0.02,0.04,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.02,6
43403,0.02,0.22,0.02,0.09,0.14,0.02,0.05,0.02,0.02,0.04,0.02,0.02,0.1,0.12,0.02,0.06,0.02,0.02,0.02,1
43404,0.24,0.01,0.01,0.33,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,3
43405,0.02,0.11,0.01,0.13,0.28,0.01,0.13,0.01,0.01,0.03,0.01,0.02,0.02,0.11,0.02,0.03,0.01,0.01,0.02,4
43406,0.02,0.07,0.02,0.04,0.3,0.02,0.26,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.04,0.02,0.02,0.02,4
43407,0.04,0.08,0.04,0.08,0.06,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.14,0.03,0.04,0.04,0.04,0.04,13
43408,0.14,0.13,0.01,0.03,0.08,0.01,0.07,0.01,0.01,0.03,0.01,0.02,0.19,0.09,0.03,0.08,0.01,0.01,0.01,12
43409,0.14,0.13,0.01,0.03,0.08,0.01,0.07,0.01,0.01,0.03,0.01,0.02,0.19,0.09,0.03,0.08,0.01,0.01,0.01,12
43410,0.04,0.18,0.02,0.04,0.12,0.02,0.03,0.02,0.02,0.07,0.02,0.14,0.09,0.05,0.02,0.03,0.02,0.02,0.05,1
43411,0.04,0.18,0.02,0.04,0.12,0.02,0.03,0.02,0.02,0.07,0.02,0.14,0.09,0.05,0.02,0.03,0.02,0.02,0.05,1
43412,0.03,0.04,0.01,0.07,0.5,0.01,0.19,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,4
43413,0.23,0.04,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0
43414,0.03,0.04,0.01,0.07,0.5,0.01,0.19,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,4
43415,0.23,0.04,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0
43416,0.07,0.03,0.02,0.1,0.06,0.01,0.01,0.02,0.01,0.04,0.02,0.04,0.1,0.35,0.04,0.01,0.02,0.02,0.01,13
43417,0.08,0.06,0.04,0.03,0.05,0.02,0.31,0.02,0.02,0.12,0.03,0.02,0.02,0.03,0.03,0.1,0.02,0.02,0.02,6
43418,0.05,0.03,0.03,0.04,0.14,0.03,0.03,0.03,0.03,0.09,0.04,0.09,0.12,0.07,0.03,0.07,0.03,0.03,0.03,4
43419,0.26,0.01,0.02,0.13,0.19,0.01,0.01,0.01,0.01,0.05,0.01,0.02,0.05,0.17,0.02,0.01,0.01,0.01,0.01,0
43420,0.07,0.03,0.01,0.22,0.1,0.01,0.05,0.01,0.01,0.01,0.03,0.18,0.08,0.11,0.01,0.04,0.01,0.01,0.01,3
43421,0.03,0.09,0.01,0.05,0.29,0.01,0.24,0.01,0.01,0.05,0.01,0.02,0.04,0.03,0.07,0.01,0.01,0.01,0.01,4
43422,0.04,0.04,0.04,0.06,0.04,0.04,0.19,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.04,0.04,0.04,6
43423,0.07,0.03,0.07,0.09,0.03,0.03,0.05,0.03,0.03,0.06,0.03,0.03,0.18,0.07,0.03,0.08,0.03,0.03,0.03,12
43424,0.09,0.02,0.01,0.41,0.19,0.01,0.05,0.01,0.01,0.04,0.01,0.05,0.01,0.04,0.05,0.01,0.01,0.01,0.01,3
43425,0.04,0.04,0.03,0.1,0.08,0.03,0.04,0.04,0.03,0.06,0.04,0.03,0.05,0.1,0.04,0.15,0.03,0.03,0.03,15
43426,0.03,0.09,0.01,0.17,0.18,0.02,0.23,0.02,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.05,0.02,0.02,0.03,6
43427,0.02,0.08,0.01,0.13,0.29,0.01,0.19,0.01,0.01,0.04,0.01,0.04,0.03,0.04,0.06,0.01,0.01,0.01,0.01,4
43428,0.17,0.08,0.04,0.05,0.12,0.02,0.03,0.02,0.02,0.02,0.05,0.02,0.02,0.24,0.02,0.02,0.02,0.02,0.02,13
43429,0.15,0.06,0.01,0.34,0.06,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.12,0.01,0.09,0.01,0.01,0.01,3
43430,0.03,0.1,0.04,0.2,0.15,0.02,0.17,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.03,0.03,0.02,0.02,0.02,3
43431,0.29,0.04,0.03,0.14,0.03,0.02,0.05,0.02,0.03,0.02,0.02,0.02,0.02,0.05,0.07,0.02,0.03,0.03,0.06,0
43432,0.13,0.03,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.07,0.03,0.09,0.03,0.21,0.03,0.03,0.03,0.03,0.03,13
43433,0.32,0.02,0.01,0.16,0.19,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.03,0.01,0.01,0.02,0
43434,0.04,0.05,0.02,0.13,0.14,0.01,0.2,0.01,0.01,0.05,0.02,0.01,0.04,0.07,0.13,0.02,0.02,0.02,0.01,6
43435,0.07,0.08,0.01,0.06,0.31,0.01,0.15,0.02,0.01,0.08,0.03,0.02,0.01,0.05,0.02,0.05,0.01,0.01,0.01,4
43436,0.15,0.09,0.02,0.08,0.17,0.02,0.22,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,6
43437,0.03,0.14,0.03,0.04,0.08,0.02,0.09,0.02,0.03,0.03,0.02,0.03,0.03,0.25,0.02,0.06,0.02,0.02,0.02,13
43438,0.13,0.02,0.02,0.24,0.02,0.05,0.08,0.02,0.05,0.02,0.02,0.04,0.02,0.12,0.06,0.04,0.02,0.02,0.02,3
43439,0.04,0.04,0.03,0.04,0.08,0.03,0.08,0.03,0.03,0.11,0.03,0.03,0.09,0.1,0.1,0.03,0.03,0.03,0.03,9
43440,0.05,0.02,0.02,0.08,0.06,0.02,0.07,0.02,0.02,0.12,0.02,0.03,0.06,0.2,0.07,0.07,0.02,0.02,0.02,13
43441,0.02,0.12,0.02,0.33,0.11,0.02,0.03,0.02,0.02,0.09,0.02,0.03,0.02,0.08,0.02,0.02,0.02,0.02,0.02,3
43442,0.04,0.05,0.02,0.11,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.03,0.14,0.03,0.02,0.02,0.02,0.02,0.05,6
43443,0.18,0.12,0.02,0.06,0.07,0.02,0.15,0.02,0.02,0.05,0.02,0.05,0.03,0.09,0.02,0.02,0.02,0.02,0.02,0
43444,0.02,0.03,0.03,0.12,0.04,0.03,0.06,0.03,0.06,0.06,0.03,0.02,0.2,0.03,0.05,0.09,0.03,0.03,0.03,12
43445,0.16,0.05,0.02,0.24,0.03,0.02,0.03,0.05,0.02,0.07,0.02,0.07,0.03,0.03,0.05,0.02,0.02,0.02,0.02,3
43446,0.08,0.12,0.02,0.18,0.12,0.02,0.05,0.02,0.02,0.02,0.02,0.03,0.04,0.21,0.03,0.01,0.02,0.02,0.01,13
43447,0.03,0.11,0.11,0.04,0.07,0.04,0.05,0.04,0.04,0.08,0.04,0.03,0.03,0.04,0.11,0.04,0.04,0.04,0.04,1
43448,0.03,0.03,0.03,0.04,0.05,0.03,0.04,0.04,0.03,0.1,0.03,0.06,0.05,0.17,0.03,0.12,0.03,0.03,0.03,13
43449,0.02,0.07,0.02,0.33,0.05,0.01,0.13,0.01,0.01,0.05,0.02,0.01,0.06,0.05,0.04,0.06,0.01,0.01,0.01,3
43450,0.1,0.06,0.02,0.2,0.15,0.01,0.14,0.01,0.01,0.01,0.02,0.02,0.01,0.12,0.07,0.01,0.01,0.01,0.01,3
43451,0.04,0.03,0.01,0.37,0.14,0.01,0.17,0.01,0.01,0.02,0.01,0.01,0.01,0.09,0.03,0.03,0.01,0.01,0.01,3
