Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Dom_Topic
65087,0.02,0.05,0.02,0.29,0.03,0.02,0.04,0.02,0.02,0.12,0.02,0.06,0.02,0.07,0.02,0.12,0.02,0.02,0.02,3
65088,0.13,0.06,0.02,0.08,0.03,0.02,0.06,0.02,0.02,0.02,0.02,0.12,0.18,0.03,0.05,0.08,0.02,0.02,0.02,12
65089,0.04,0.12,0.04,0.1,0.08,0.01,0.1,0.01,0.01,0.02,0.01,0.01,0.09,0.16,0.05,0.07,0.02,0.02,0.01,13
65090,0.03,0.17,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.06,0.03,0.03,0.16,0.08,0.13,0.03,0.03,0.03,0.03,1
65091,0.09,0.03,0.03,0.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.19,0.03,0.12,0.03,0.03,0.03,0.03,0.03,11
65092,0.03,0.19,0.04,0.04,0.03,0.03,0.05,0.03,0.03,0.07,0.03,0.03,0.11,0.03,0.12,0.03,0.03,0.03,0.03,1
65093,0.07,0.16,0.02,0.05,0.03,0.02,0.04,0.02,0.02,0.08,0.02,0.12,0.17,0.04,0.02,0.02,0.02,0.02,0.02,12
65094,0.03,0.07,0.03,0.31,0.08,0.01,0.08,0.01,0.01,0.08,0.01,0.05,0.04,0.06,0.05,0.05,0.01,0.01,0.01,3
65095,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11
65096,0.03,0.05,0.03,0.04,0.04,0.03,0.08,0.09,0.03,0.03,0.06,0.06,0.04,0.03,0.12,0.12,0.03,0.03,0.03,14
65097,0.03,0.03,0.07,0.03,0.03,0.03,0.07,0.03,0.03,0.13,0.03,0.21,0.03,0.03,0.06,0.03,0.03,0.03,0.03,11
65098,0.04,0.12,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.11,0.04,0.04,0.13,0.04,0.04,0.04,0.04,14
65099,0.04,0.03,0.03,0.12,0.05,0.03,0.03,0.1,0.03,0.03,0.03,0.03,0.06,0.21,0.06,0.03,0.03,0.03,0.03,13
65100,0.06,0.18,0.03,0.08,0.03,0.03,0.04,0.03,0.03,0.05,0.03,0.03,0.07,0.12,0.03,0.03,0.03,0.03,0.07,1
65101,0.05,0.22,0.03,0.04,0.03,0.07,0.06,0.03,0.03,0.03,0.03,0.08,0.07,0.04,0.03,0.03,0.03,0.03,0.03,1
65102,0.05,0.05,0.05,0.06,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,13
65103,0.06,0.02,0.03,0.15,0.02,0.03,0.04,0.07,0.03,0.03,0.03,0.02,0.09,0.26,0.02,0.03,0.03,0.03,0.03,13
65104,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11
65105,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,10
65106,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,6
65107,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.09,0.08,0.09,0.04,0.04,0.05,0.05,0.04,11
65108,0.04,0.15,0.04,0.05,0.04,0.04,0.11,0.04,0.04,0.08,0.04,0.03,0.05,0.07,0.04,0.04,0.04,0.04,0.04,1
65109,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
65110,0.05,0.04,0.05,0.08,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.08,0.05,0.06,0.06,0.06,0.05,3
65111,0.03,0.03,0.03,0.03,0.06,0.11,0.13,0.03,0.03,0.03,0.03,0.03,0.13,0.03,0.11,0.03,0.03,0.03,0.03,6
65112,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.1,11
65113,0.05,0.05,0.08,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,8
65114,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.08,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.05,0.05,7
65115,0.03,0.03,0.03,0.04,0.03,0.03,0.09,0.03,0.03,0.06,0.03,0.03,0.13,0.07,0.17,0.03,0.04,0.04,0.03,14
65116,0.07,0.04,0.03,0.11,0.03,0.03,0.04,0.1,0.03,0.03,0.03,0.06,0.04,0.09,0.11,0.03,0.03,0.03,0.03,3
65117,0.02,0.11,0.02,0.12,0.07,0.02,0.05,0.02,0.02,0.02,0.03,0.05,0.13,0.08,0.06,0.08,0.03,0.03,0.02,12
65118,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.1,0.04,0.2,0.04,0.06,0.1,0.04,0.04,0.04,0.04,11
65119,0.09,0.02,0.11,0.12,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.06,0.15,0.11,0.02,0.02,0.02,0.02,13
65120,0.16,0.04,0.07,0.04,0.13,0.03,0.03,0.03,0.03,0.07,0.03,0.09,0.04,0.03,0.03,0.06,0.03,0.03,0.04,0
65121,0.05,0.02,0.09,0.21,0.02,0.05,0.03,0.02,0.02,0.03,0.02,0.11,0.1,0.09,0.05,0.02,0.02,0.02,0.02,3
65122,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.1,0.15,0.07,0.14,0.03,0.03,0.03,0.07,12
65123,0.09,0.11,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.06,0.03,0.09,0.03,0.03,0.12,0.1,0.03,0.03,0.03,14
65124,0.05,0.05,0.03,0.04,0.03,0.03,0.05,0.03,0.03,0.13,0.03,0.03,0.1,0.06,0.06,0.1,0.03,0.03,0.07,9
65125,0.06,0.15,0.02,0.15,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.12,0.12,0.02,0.09,0.02,0.02,0.02,0.04,1
65126,0.06,0.12,0.02,0.18,0.02,0.02,0.03,0.02,0.02,0.1,0.02,0.02,0.08,0.06,0.17,0.02,0.02,0.02,0.02,3
65127,0.08,0.13,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.07,0.04,0.08,0.03,0.2,0.02,0.06,0.03,0.03,0.03,13
65128,0.02,0.02,0.04,0.03,0.03,0.02,0.13,0.02,0.02,0.07,0.02,0.08,0.02,0.15,0.15,0.05,0.02,0.02,0.07,13
65129,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.09,0.2,0.09,0.04,0.04,0.04,0.08,13
65130,0.02,0.1,0.02,0.29,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.08,0.07,0.08,0.02,0.02,0.02,0.02,3
65131,0.02,0.13,0.02,0.07,0.05,0.02,0.22,0.02,0.02,0.02,0.02,0.04,0.02,0.16,0.05,0.07,0.02,0.02,0.02,6
65132,0.02,0.02,0.02,0.13,0.05,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.09,0.38,0.02,0.02,0.02,0.02,0.02,13
65133,0.09,0.07,0.02,0.42,0.02,0.02,0.05,0.02,0.03,0.02,0.02,0.06,0.04,0.02,0.02,0.02,0.02,0.02,0.02,3
65134,0.06,0.1,0.02,0.12,0.02,0.02,0.19,0.02,0.02,0.02,0.02,0.05,0.2,0.05,0.03,0.02,0.02,0.02,0.02,12
65135,0.04,0.2,0.02,0.05,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.05,0.11,0.24,0.03,0.02,0.02,0.02,0.02,13
65136,0.02,0.17,0.02,0.03,0.07,0.02,0.05,0.02,0.02,0.05,0.02,0.07,0.21,0.06,0.09,0.02,0.02,0.02,0.02,12
65137,0.02,0.12,0.02,0.03,0.03,0.02,0.06,0.05,0.02,0.03,0.02,0.3,0.12,0.03,0.02,0.02,0.02,0.02,0.02,11
65138,0.16,0.07,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.12,0.03,0.07,0.09,0.02,0.02,0.04,0.02,0.02,0.02,3
65139,0.03,0.06,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.08,0.21,0.18,0.03,0.06,0.03,0.03,0.02,12
65140,0.19,0.05,0.02,0.29,0.02,0.02,0.08,0.02,0.02,0.02,0.02,0.07,0.07,0.01,0.05,0.02,0.02,0.02,0.01,3
65141,0.07,0.07,0.03,0.09,0.07,0.06,0.08,0.03,0.03,0.08,0.03,0.1,0.05,0.11,0.03,0.03,0.03,0.03,0.03,13
65142,0.04,0.15,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.12,0.04,0.04,0.04,0.04,1
65143,0.03,0.05,0.03,0.04,0.03,0.03,0.07,0.03,0.03,0.09,0.03,0.07,0.06,0.16,0.1,0.06,0.03,0.03,0.03,13
65144,0.06,0.03,0.03,0.06,0.03,0.03,0.12,0.03,0.03,0.03,0.03,0.07,0.05,0.03,0.21,0.03,0.03,0.03,0.03,14
