Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5458,0.03,0.33,0.03,0.03,0.08,2
5459,0.01,0.66,0.16,0.01,0.01,2
5460,0.02,0.49,0.02,0.02,0.13,2
5461,0.01,0.67,0.22,0.02,0.01,2
5462,0.02,0.66,0.03,0.02,0.02,2
5463,0.04,0.2,0.04,0.04,0.06,2
5464,0.04,0.16,0.06,0.05,0.05,2
5465,0.03,0.46,0.02,0.02,0.09,2
5466,0.02,0.3,0.03,0.02,0.26,2
5467,0.04,0.17,0.04,0.05,0.04,2
5468,0.03,0.35,0.03,0.03,0.04,2
5469,0.03,0.38,0.03,0.03,0.1,2
5470,0.02,0.52,0.04,0.02,0.04,2
5471,0.01,0.51,0.08,0.23,0.03,2
5472,0.02,0.57,0.05,0.02,0.12,2
5473,0.01,0.23,0.01,0.01,0.55,12
5474,0.04,0.23,0.04,0.04,0.05,2
5475,0.02,0.52,0.03,0.17,0.02,2
5476,0.01,0.81,0.01,0.01,0.03,2
5477,0.01,0.76,0.02,0.02,0.02,2
5478,0.04,0.08,0.04,0.04,0.15,12
5479,0.02,0.62,0.02,0.02,0.04,2
5480,0.02,0.48,0.18,0.03,0.02,2
5481,0.03,0.44,0.05,0.03,0.04,2
5482,0.04,0.08,0.04,0.04,0.23,12
5483,0.01,0.77,0.01,0.01,0.01,2
5484,0.01,0.45,0.01,0.01,0.28,2
5485,0.02,0.55,0.08,0.11,0.02,2
5486,0.03,0.22,0.03,0.04,0.16,2
5487,0.02,0.65,0.02,0.02,0.03,2
5488,0.05,0.13,0.05,0.05,0.05,2
5489,0.04,0.28,0.04,0.04,0.06,2
5490,0.02,0.53,0.09,0.02,0.03,2
5491,0.02,0.62,0.02,0.02,0.08,2
5492,0.02,0.51,0.01,0.06,0.11,2
5493,0.02,0.7,0.02,0.02,0.02,2
5494,0.01,0.38,0.3,0.01,0.08,2
5495,0.03,0.26,0.08,0.03,0.06,2
5496,0.02,0.55,0.03,0.03,0.03,2
