Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5844,0.02,0.43,0.02,0.02,0.29,2
5845,0.02,0.7,0.01,0.01,0.01,2
5846,0.01,0.71,0.05,0.01,0.04,2
5847,0.01,0.61,0.01,0.01,0.15,2
5848,0.02,0.53,0.02,0.02,0.02,2
5849,0.04,0.23,0.04,0.04,0.08,2
5850,0.01,0.41,0.02,0.02,0.32,2
5851,0.03,0.4,0.03,0.03,0.07,2
5852,0.02,0.35,0.06,0.02,0.23,2
5853,0.02,0.52,0.03,0.03,0.02,2
5854,0.02,0.39,0.03,0.21,0.02,2
5855,0.02,0.31,0.02,0.02,0.3,2
5856,0.04,0.18,0.04,0.04,0.15,2
5857,0.03,0.32,0.05,0.04,0.03,2
5858,0.02,0.45,0.02,0.02,0.18,2
5859,0.02,0.67,0.02,0.02,0.02,2
5860,0.03,0.33,0.03,0.05,0.04,2
5861,0.02,0.62,0.02,0.02,0.03,2
5862,0.02,0.26,0.02,0.02,0.34,12
5863,0.03,0.28,0.05,0.03,0.15,2
5864,0.01,0.73,0.02,0.02,0.02,2
5865,0.04,0.05,0.03,0.04,0.3,12
5866,0.02,0.33,0.02,0.03,0.23,2
5867,0.01,0.5,0.03,0.19,0.06,2
5868,0.03,0.11,0.04,0.04,0.26,12
5869,0.03,0.51,0.03,0.03,0.03,2
5870,0.01,0.55,0.01,0.01,0.24,2
5871,0.02,0.68,0.02,0.01,0.03,2
5872,0.02,0.67,0.02,0.02,0.05,2
5873,0.02,0.46,0.02,0.05,0.06,2
5874,0.02,0.46,0.03,0.02,0.13,2
5875,0.01,0.44,0.02,0.01,0.3,2
5876,0.02,0.13,0.02,0.02,0.46,12
5877,0.01,0.42,0.01,0.01,0.34,2
5878,0.02,0.57,0.02,0.02,0.02,2
5879,0.02,0.54,0.03,0.02,0.04,2
5880,0.01,0.65,0.1,0.03,0.01,2
5881,0.02,0.57,0.02,0.02,0.03,2
5882,0.01,0.79,0.01,0.01,0.02,2
5883,0.02,0.52,0.02,0.02,0.14,2
5884,0.03,0.38,0.03,0.03,0.04,2
5885,0.03,0.43,0.03,0.03,0.03,2
5886,0.02,0.53,0.02,0.02,0.12,2
5887,0.03,0.12,0.04,0.03,0.28,12
5888,0.03,0.46,0.03,0.03,0.05,2
5889,0.01,0.62,0.01,0.01,0.21,2
5890,0.02,0.37,0.03,0.02,0.19,2
5891,0.02,0.53,0.14,0.03,0.02,2
5892,0.02,0.56,0.02,0.02,0.1,2
5893,0.04,0.09,0.05,0.04,0.15,12
5894,0.02,0.23,0.03,0.03,0.33,12
5895,0.03,0.34,0.03,0.03,0.1,2
5896,0.02,0.31,0.27,0.02,0.03,2
5897,0.01,0.64,0.01,0.07,0.11,2
5898,0.02,0.39,0.02,0.02,0.29,2
5899,0.02,0.5,0.02,0.02,0.22,2
5900,0.02,0.54,0.03,0.02,0.08,2
5901,0.02,0.55,0.02,0.05,0.03,2
5902,0.02,0.54,0.02,0.02,0.03,2
5903,0.03,0.44,0.03,0.03,0.04,2
5904,0.03,0.4,0.03,0.03,0.03,2
5905,0.01,0.68,0.01,0.05,0.02,2
5906,0.02,0.52,0.02,0.02,0.08,2
5907,0.01,0.71,0.01,0.06,0.04,2
5908,0.02,0.35,0.02,0.02,0.22,2
5909,0.01,0.81,0.05,0.01,0.02,2
5910,0.01,0.74,0.01,0.01,0.02,2
5911,0.04,0.27,0.04,0.04,0.05,2
5912,0.03,0.33,0.03,0.05,0.05,2
5913,0.02,0.36,0.03,0.02,0.31,2
5914,0.02,0.55,0.02,0.02,0.09,2
5915,0.03,0.19,0.03,0.03,0.29,12
5916,0.02,0.5,0.02,0.02,0.15,2
5917,0.02,0.53,0.03,0.04,0.04,2
5918,0.01,0.43,0.02,0.01,0.32,2
5919,0.02,0.47,0.02,0.02,0.13,2
5920,0.04,0.29,0.04,0.04,0.04,2
5921,0.02,0.39,0.01,0.02,0.33,2
5922,0.01,0.73,0.01,0.01,0.06,2
5923,0.02,0.62,0.02,0.02,0.09,2
5924,0.03,0.5,0.03,0.02,0.03,2
5925,0.02,0.54,0.07,0.02,0.03,2
5926,0.01,0.06,0.01,0.02,0.71,12
5927,0.01,0.57,0.06,0.14,0.02,2
5928,0.02,0.69,0.03,0.02,0.02,2
5929,0.01,0.67,0.16,0.01,0.02,2
5930,0.02,0.6,0.02,0.03,0.04,2
5931,0.03,0.43,0.03,0.03,0.03,2
5932,0.03,0.37,0.04,0.07,0.04,2
5933,0.02,0.6,0.02,0.02,0.05,2
5934,0.03,0.43,0.03,0.03,0.06,2
5935,0.03,0.47,0.03,0.04,0.06,2
5936,0.01,0.55,0.14,0.02,0.06,2
5937,0.01,0.49,0.01,0.01,0.02,2
5938,0.01,0.72,0.01,0.02,0.02,2
5939,0.01,0.7,0.14,0.01,0.02,2
5940,0.03,0.4,0.1,0.03,0.03,2
5941,0.02,0.14,0.02,0.02,0.48,12
5942,0.03,0.36,0.03,0.09,0.06,2
5943,0.03,0.05,0.03,0.03,0.42,12
24641,0.02,0.55,0.03,0.02,0.03,2
24642,0.01,0.72,0.02,0.05,0.01,2
24643,0.02,0.49,0.05,0.05,0.03,2
24644,0.02,0.51,0.16,0.02,0.02,2
24645,0.03,0.34,0.04,0.14,0.06,2
24646,0.01,0.68,0.14,0.04,0.03,2
24647,0.01,0.63,0.17,0.01,0.02,2
24648,0.02,0.55,0.06,0.02,0.03,2
24649,0.01,0.62,0.01,0.01,0.13,2
24650,0.01,0.61,0.11,0.01,0.08,2
24651,0.02,0.56,0.02,0.1,0.02,2
24652,0.03,0.39,0.06,0.03,0.04,2
25379,0.04,0.25,0.06,0.04,0.04,2
25380,0.04,0.25,0.06,0.04,0.04,2
25381,0.03,0.11,0.04,0.03,0.32,12
25382,0.03,0.11,0.04,0.03,0.32,12
25383,0.01,0.58,0.25,0.01,0.05,2
25384,0.01,0.61,0.18,0.01,0.02,2
25385,0.01,0.38,0.49,0.01,0.01,6
25386,0.02,0.63,0.02,0.05,0.04,2
25387,0.01,0.58,0.25,0.01,0.05,2
25388,0.01,0.61,0.18,0.01,0.02,2
25389,0.01,0.38,0.49,0.01,0.01,6
25390,0.02,0.63,0.02,0.05,0.04,2
25391,0.02,0.59,0.03,0.03,0.04,2
25392,0.02,0.38,0.01,0.01,0.34,2
25393,0.01,0.35,0.01,0.47,0.05,8
25394,0.02,0.5,0.03,0.02,0.17,2
25395,0.02,0.59,0.03,0.03,0.04,2
25396,0.02,0.38,0.01,0.01,0.34,2
25397,0.01,0.35,0.01,0.47,0.05,8
25398,0.02,0.5,0.03,0.02,0.17,2
25399,0.01,0.58,0.31,0.01,0.01,2
25400,0.01,0.45,0.41,0.01,0.01,2
25401,0.01,0.53,0.2,0.02,0.02,2
25402,0.02,0.58,0.05,0.03,0.03,2
25403,0.01,0.58,0.31,0.01,0.01,2
25404,0.01,0.45,0.41,0.01,0.01,2
25405,0.01,0.53,0.2,0.02,0.02,2
25406,0.02,0.58,0.05,0.03,0.03,2
25407,0.02,0.49,0.06,0.03,0.05,2
25408,0.02,0.49,0.06,0.03,0.05,2
25409,0.01,0.47,0.36,0.01,0.04,2
25410,0.03,0.4,0.03,0.03,0.03,2
25411,0.01,0.32,0.02,0.01,0.43,12
25412,0.02,0.63,0.02,0.02,0.02,2
25413,0.01,0.62,0.02,0.01,0.22,2
25414,0.02,0.6,0.02,0.02,0.07,2
25415,0.01,0.59,0.01,0.21,0.07,2
25416,0.01,0.72,0.02,0.01,0.06,2
25417,0.01,0.47,0.36,0.01,0.04,2
25418,0.03,0.4,0.03,0.03,0.03,2
25419,0.01,0.32,0.02,0.01,0.43,12
25420,0.02,0.63,0.02,0.02,0.02,2
25421,0.01,0.62,0.02,0.01,0.22,2
25422,0.02,0.6,0.02,0.02,0.07,2
25423,0.01,0.59,0.01,0.21,0.07,2
25424,0.01,0.72,0.02,0.01,0.06,2
25425,0.01,0.22,0.02,0.02,0.51,12
25426,0.02,0.59,0.02,0.02,0.06,2
25427,0.0,0.76,0.15,0.01,0.01,2
25428,0.02,0.51,0.06,0.08,0.03,2
25429,0.01,0.56,0.19,0.02,0.01,2
25430,0.02,0.46,0.14,0.02,0.04,2
25431,0.03,0.08,0.03,0.04,0.36,12
25432,0.01,0.71,0.09,0.01,0.03,2
25433,0.02,0.55,0.1,0.02,0.03,2
25434,0.01,0.54,0.01,0.07,0.24,2
25435,0.02,0.43,0.02,0.02,0.18,2
25436,0.02,0.63,0.02,0.02,0.07,2
25437,0.01,0.46,0.02,0.05,0.26,2
25438,0.01,0.55,0.06,0.01,0.25,2
25439,0.04,0.26,0.04,0.04,0.08,2
25440,0.02,0.55,0.03,0.03,0.04,2
25441,0.05,0.06,0.06,0.05,0.05,2
25442,0.02,0.37,0.02,0.02,0.27,2
25443,0.01,0.62,0.01,0.01,0.19,2
25444,0.02,0.7,0.01,0.01,0.02,2
25445,0.01,0.3,0.01,0.54,0.05,8
25446,0.02,0.37,0.02,0.02,0.27,2
25447,0.01,0.62,0.01,0.01,0.19,2
25448,0.02,0.7,0.01,0.01,0.02,2
25449,0.01,0.3,0.01,0.54,0.05,8
25450,0.02,0.31,0.01,0.02,0.42,12
25451,0.03,0.49,0.03,0.03,0.03,2
25452,0.02,0.31,0.01,0.02,0.42,12
25453,0.03,0.49,0.03,0.03,0.03,2
25454,0.01,0.71,0.02,0.01,0.04,2
25455,0.01,0.63,0.05,0.01,0.07,2
25456,0.02,0.54,0.02,0.02,0.03,2
25457,0.03,0.42,0.07,0.03,0.07,2
25458,0.02,0.65,0.02,0.02,0.05,2
25459,0.02,0.42,0.04,0.02,0.23,2
25460,0.02,0.5,0.05,0.02,0.05,2
25461,0.02,0.52,0.05,0.02,0.05,2
25462,0.01,0.59,0.01,0.01,0.22,2
25463,0.01,0.71,0.02,0.01,0.04,2
25464,0.01,0.63,0.05,0.01,0.07,2
25465,0.02,0.54,0.02,0.02,0.03,2
25466,0.03,0.42,0.07,0.03,0.07,2
25467,0.02,0.65,0.02,0.02,0.05,2
25468,0.02,0.42,0.04,0.02,0.23,2
25469,0.02,0.5,0.05,0.02,0.05,2
25470,0.02,0.52,0.05,0.02,0.05,2
25471,0.01,0.59,0.01,0.01,0.22,2
25472,0.01,0.65,0.06,0.01,0.16,2
25473,0.01,0.43,0.03,0.01,0.31,2
25474,0.01,0.65,0.06,0.01,0.16,2
25475,0.01,0.43,0.03,0.01,0.31,2
25476,0.02,0.32,0.02,0.28,0.03,2
25477,0.02,0.32,0.02,0.28,0.03,2
25478,0.01,0.46,0.01,0.4,0.01,2
25479,0.01,0.46,0.01,0.4,0.01,2
25480,0.03,0.43,0.03,0.03,0.09,2
25481,0.03,0.43,0.03,0.03,0.09,2
25482,0.0,0.55,0.38,0.01,0.0,2
25483,0.02,0.7,0.01,0.01,0.02,2
25484,0.0,0.55,0.38,0.01,0.0,2
25485,0.02,0.7,0.01,0.01,0.02,2
25486,0.01,0.69,0.05,0.02,0.05,2
25487,0.01,0.69,0.05,0.02,0.05,2
25488,0.02,0.63,0.04,0.02,0.05,2
25489,0.01,0.44,0.42,0.01,0.01,2
25490,0.03,0.3,0.03,0.06,0.19,2
25491,0.04,0.08,0.04,0.04,0.11,12
25492,0.01,0.49,0.24,0.02,0.02,2
25493,0.03,0.23,0.11,0.05,0.09,2
25494,0.01,0.35,0.01,0.01,0.43,12
25495,0.01,0.71,0.06,0.07,0.04,2
25496,0.01,0.62,0.13,0.01,0.12,2
25497,0.01,0.81,0.04,0.01,0.03,2
25498,0.04,0.08,0.04,0.04,0.2,12
25499,0.01,0.63,0.1,0.02,0.02,2
25500,0.02,0.49,0.18,0.02,0.04,2
25501,0.01,0.86,0.01,0.01,0.03,2
25502,0.02,0.6,0.09,0.02,0.02,2
25503,0.02,0.59,0.03,0.02,0.02,2
25504,0.01,0.82,0.01,0.01,0.06,2
25505,0.03,0.25,0.03,0.03,0.29,12
25506,0.02,0.53,0.11,0.02,0.04,2
25507,0.01,0.84,0.02,0.03,0.02,2
25508,0.02,0.52,0.03,0.03,0.03,2
25509,0.03,0.42,0.03,0.03,0.05,2
25510,0.02,0.52,0.13,0.04,0.02,2
25511,0.01,0.43,0.34,0.01,0.09,2
25512,0.02,0.62,0.05,0.04,0.03,2
25513,0.02,0.32,0.02,0.02,0.31,2
25514,0.01,0.48,0.05,0.16,0.06,2
25515,0.01,0.5,0.24,0.03,0.03,2
25516,0.01,0.65,0.01,0.01,0.22,2
25517,0.01,0.42,0.01,0.01,0.33,2
25518,0.01,0.7,0.01,0.01,0.07,2
25519,0.01,0.37,0.01,0.01,0.42,12
25520,0.03,0.46,0.03,0.05,0.03,2
25521,0.01,0.72,0.01,0.02,0.1,2
25522,0.01,0.61,0.12,0.02,0.07,2
25523,0.01,0.62,0.01,0.11,0.03,2
25524,0.01,0.73,0.08,0.01,0.01,2
25525,0.04,0.24,0.04,0.07,0.04,2
25526,0.01,0.52,0.24,0.02,0.03,2
25527,0.01,0.73,0.02,0.01,0.02,2
25528,0.02,0.55,0.14,0.02,0.02,2
25529,0.03,0.43,0.03,0.03,0.03,2
25530,0.02,0.26,0.3,0.03,0.05,6
25531,0.02,0.52,0.02,0.02,0.06,2
25532,0.01,0.64,0.16,0.01,0.03,2
25533,0.02,0.54,0.06,0.03,0.08,2
25534,0.02,0.53,0.05,0.03,0.07,2
25535,0.01,0.56,0.16,0.02,0.04,2
25536,0.01,0.53,0.22,0.01,0.01,2
25537,0.03,0.43,0.03,0.08,0.06,2
25538,0.01,0.61,0.09,0.02,0.05,2
25539,0.02,0.62,0.03,0.05,0.02,2
25540,0.01,0.33,0.06,0.03,0.48,12
25541,0.02,0.33,0.02,0.04,0.21,2
25542,0.02,0.67,0.02,0.04,0.02,2
25543,0.02,0.63,0.02,0.02,0.03,2
25544,0.01,0.57,0.14,0.08,0.03,2
25545,0.03,0.46,0.03,0.03,0.04,2
25546,0.02,0.16,0.03,0.01,0.54,12
25547,0.03,0.46,0.03,0.03,0.04,2
25548,0.02,0.16,0.03,0.01,0.54,12
25549,0.02,0.41,0.16,0.02,0.08,2
25550,0.01,0.53,0.02,0.23,0.02,2
25551,0.01,0.05,0.01,0.01,0.8,12
25552,0.02,0.51,0.15,0.02,0.02,2
25553,0.02,0.59,0.02,0.04,0.02,2
25554,0.01,0.51,0.21,0.01,0.05,2
25555,0.01,0.76,0.06,0.01,0.01,2
25556,0.01,0.58,0.22,0.01,0.02,2
25557,0.02,0.02,0.07,0.02,0.63,12
25558,0.02,0.5,0.02,0.02,0.15,2
25559,0.01,0.53,0.02,0.23,0.02,2
25560,0.01,0.05,0.01,0.01,0.8,12
25561,0.02,0.51,0.15,0.02,0.02,2
25562,0.02,0.59,0.02,0.04,0.02,2
25563,0.01,0.51,0.21,0.01,0.05,2
25564,0.01,0.76,0.06,0.01,0.01,2
25565,0.01,0.58,0.22,0.01,0.02,2
25566,0.02,0.02,0.07,0.02,0.63,12
25567,0.02,0.5,0.02,0.02,0.15,2
25568,0.04,0.3,0.03,0.03,0.03,2
25569,0.01,0.56,0.23,0.01,0.01,2
25570,0.02,0.51,0.03,0.03,0.04,2
25571,0.01,0.56,0.23,0.01,0.01,2
25572,0.02,0.51,0.03,0.03,0.04,2
25573,0.02,0.68,0.03,0.02,0.02,2
25574,0.01,0.7,0.04,0.01,0.06,2
25575,0.01,0.77,0.05,0.01,0.02,2
25576,0.01,0.82,0.01,0.03,0.02,2
25577,0.02,0.19,0.02,0.02,0.48,12
25578,0.02,0.61,0.03,0.02,0.03,2
25579,0.01,0.7,0.04,0.01,0.06,2
25580,0.01,0.77,0.05,0.01,0.02,2
25581,0.01,0.82,0.01,0.03,0.02,2
25582,0.02,0.19,0.02,0.02,0.48,12
25583,0.02,0.61,0.03,0.02,0.03,2
25584,0.03,0.26,0.03,0.03,0.13,2
25585,0.01,0.72,0.01,0.01,0.07,2
25586,0.02,0.59,0.02,0.02,0.02,2
25587,0.01,0.45,0.05,0.02,0.25,2
25588,0.04,0.14,0.07,0.07,0.04,2
25589,0.02,0.51,0.05,0.03,0.03,2
25590,0.02,0.67,0.02,0.02,0.04,2
25591,0.01,0.58,0.02,0.01,0.14,2
25592,0.02,0.33,0.02,0.02,0.28,2
25593,0.02,0.35,0.03,0.02,0.23,2
25594,0.03,0.31,0.04,0.04,0.06,2
25595,0.04,0.23,0.07,0.06,0.04,2
25596,0.02,0.46,0.02,0.02,0.22,2
25597,0.01,0.71,0.01,0.01,0.07,2
25598,0.02,0.62,0.02,0.02,0.07,2
25599,0.01,0.58,0.02,0.02,0.16,2
25600,0.02,0.29,0.02,0.02,0.42,12
25601,0.02,0.54,0.02,0.04,0.03,2
25602,0.02,0.55,0.02,0.05,0.09,2
25603,0.02,0.62,0.02,0.02,0.05,2
25604,0.03,0.35,0.04,0.04,0.06,2
25605,0.02,0.53,0.02,0.02,0.07,2
25606,0.01,0.79,0.01,0.01,0.03,2
25607,0.02,0.17,0.02,0.02,0.43,12
25608,0.01,0.6,0.14,0.01,0.02,2
25609,0.02,0.63,0.02,0.02,0.08,2
25610,0.02,0.55,0.1,0.03,0.02,2
25611,0.01,0.54,0.1,0.13,0.03,2
25612,0.03,0.46,0.03,0.03,0.03,2
25613,0.02,0.51,0.07,0.03,0.09,2
25614,0.02,0.66,0.02,0.02,0.01,2
25615,0.04,0.25,0.05,0.04,0.06,2
25616,0.0,0.72,0.08,0.02,0.12,2
25617,0.02,0.37,0.08,0.03,0.25,2
25618,0.04,0.33,0.03,0.03,0.04,2
25619,0.01,0.71,0.01,0.01,0.07,2
25620,0.01,0.65,0.01,0.02,0.19,2
25621,0.01,0.76,0.01,0.03,0.01,2
25622,0.02,0.51,0.07,0.02,0.07,2
25623,0.03,0.48,0.03,0.03,0.03,2
25624,0.0,0.59,0.34,0.02,0.01,2
25625,0.02,0.59,0.02,0.02,0.05,2
25626,0.02,0.23,0.02,0.02,0.44,12
25627,0.02,0.58,0.06,0.02,0.03,2
25628,0.01,0.63,0.01,0.01,0.15,2
25629,0.02,0.69,0.02,0.02,0.03,2
25630,0.01,0.69,0.02,0.03,0.02,2
25631,0.02,0.54,0.02,0.03,0.03,2
25632,0.01,0.66,0.07,0.02,0.07,2
25633,0.01,0.62,0.14,0.01,0.03,2
25634,0.02,0.66,0.03,0.02,0.03,2
25635,0.01,0.66,0.05,0.01,0.06,2
25636,0.02,0.62,0.05,0.03,0.02,2
25637,0.0,0.71,0.11,0.01,0.09,2
25638,0.01,0.45,0.05,0.31,0.02,2
25639,0.02,0.55,0.1,0.02,0.02,2
25640,0.02,0.3,0.03,0.06,0.25,2
25641,0.04,0.19,0.04,0.04,0.14,2
25642,0.01,0.76,0.02,0.02,0.01,2
25643,0.02,0.63,0.02,0.02,0.04,2
25644,0.05,0.09,0.05,0.05,0.05,2
25645,0.01,0.7,0.04,0.02,0.05,2
25646,0.03,0.47,0.03,0.03,0.05,2
25647,0.02,0.21,0.02,0.02,0.43,12
25648,0.0,0.06,0.0,0.0,0.9,12
25649,0.02,0.23,0.02,0.02,0.45,12
25650,0.02,0.11,0.03,0.02,0.54,12
25651,0.01,0.85,0.01,0.01,0.01,2
25652,0.01,0.47,0.01,0.01,0.31,2
25653,0.02,0.06,0.02,0.02,0.59,12
25654,0.01,0.48,0.02,0.02,0.28,2
25655,0.03,0.46,0.04,0.03,0.03,2
25656,0.0,0.06,0.0,0.0,0.9,12
25657,0.02,0.53,0.02,0.02,0.06,2
25658,0.04,0.29,0.04,0.04,0.05,2
25659,0.02,0.44,0.15,0.02,0.13,2
25660,0.04,0.32,0.04,0.04,0.03,2
25661,0.0,0.78,0.13,0.01,0.02,2
25662,0.02,0.43,0.21,0.05,0.04,2
25663,0.02,0.34,0.32,0.02,0.06,2
25664,0.01,0.15,0.01,0.01,0.6,12
25665,0.02,0.44,0.02,0.14,0.02,2
25666,0.0,0.06,0.0,0.0,0.9,12
25667,0.02,0.63,0.04,0.02,0.02,2
25668,0.01,0.1,0.03,0.01,0.67,12
25669,0.03,0.45,0.03,0.03,0.02,2
25670,0.03,0.3,0.04,0.07,0.09,2
25671,0.01,0.62,0.02,0.01,0.12,2
25672,0.02,0.52,0.09,0.05,0.04,2
25673,0.02,0.6,0.02,0.02,0.02,2
25674,0.04,0.21,0.04,0.04,0.11,2
25675,0.03,0.39,0.02,0.02,0.12,2
25676,0.01,0.51,0.02,0.02,0.21,2
25677,0.01,0.67,0.02,0.02,0.09,2
25678,0.04,0.22,0.06,0.04,0.06,2
25679,0.0,0.88,0.05,0.0,0.01,2
25680,0.02,0.66,0.03,0.01,0.03,2
25681,0.03,0.5,0.03,0.03,0.05,2
25682,0.02,0.5,0.06,0.02,0.12,2
25683,0.01,0.44,0.38,0.02,0.02,2
25684,0.02,0.66,0.02,0.02,0.02,2
25685,0.03,0.42,0.03,0.03,0.04,2
25686,0.02,0.53,0.03,0.02,0.05,2
25687,0.02,0.68,0.02,0.02,0.04,2
25688,0.02,0.39,0.02,0.26,0.06,2
25689,0.03,0.43,0.03,0.03,0.03,2
25690,0.02,0.6,0.02,0.02,0.03,2
25691,0.02,0.6,0.02,0.04,0.02,2
25692,0.01,0.28,0.02,0.01,0.52,12
25693,0.02,0.48,0.02,0.02,0.06,2
25694,0.01,0.81,0.02,0.06,0.01,2
25695,0.01,0.74,0.01,0.01,0.05,2
25696,0.01,0.65,0.01,0.02,0.09,2
25697,0.04,0.15,0.04,0.05,0.04,2
25698,0.01,0.64,0.15,0.01,0.02,2
25699,0.01,0.73,0.01,0.02,0.05,2
25700,0.0,0.61,0.1,0.0,0.21,2
25701,0.0,0.07,0.0,0.0,0.9,12
25702,0.03,0.08,0.03,0.03,0.34,12
25703,0.01,0.45,0.01,0.01,0.31,2
25704,0.01,0.67,0.01,0.02,0.14,2
25705,0.01,0.69,0.04,0.03,0.02,2
25706,0.01,0.6,0.05,0.05,0.16,2
25707,0.02,0.66,0.02,0.02,0.04,2
25708,0.02,0.49,0.04,0.03,0.05,2
25709,0.02,0.58,0.04,0.03,0.02,2
25710,0.0,0.84,0.03,0.01,0.06,2
25711,0.02,0.64,0.02,0.02,0.04,2
25712,0.01,0.8,0.05,0.01,0.04,2
25713,0.02,0.63,0.02,0.03,0.02,2
25714,0.02,0.43,0.02,0.05,0.15,2
25715,0.03,0.45,0.03,0.03,0.09,2
25716,0.02,0.6,0.02,0.02,0.1,2
25717,0.02,0.47,0.02,0.04,0.17,2
25718,0.02,0.69,0.02,0.02,0.03,2
25719,0.02,0.53,0.03,0.14,0.02,2
25720,0.03,0.37,0.03,0.03,0.16,2
25721,0.02,0.69,0.01,0.02,0.02,2
25722,0.01,0.7,0.02,0.03,0.06,2
25723,0.01,0.67,0.01,0.02,0.12,2
25724,0.03,0.4,0.06,0.03,0.07,2
25725,0.01,0.67,0.02,0.01,0.1,2
25726,0.01,0.36,0.01,0.01,0.44,12
25727,0.02,0.64,0.03,0.02,0.03,2
25728,0.01,0.33,0.01,0.01,0.5,12
25729,0.02,0.38,0.03,0.04,0.22,2
25730,0.03,0.39,0.02,0.02,0.16,2
25731,0.02,0.36,0.27,0.06,0.03,2
25732,0.01,0.59,0.02,0.13,0.02,2
25733,0.01,0.12,0.01,0.01,0.77,12
25734,0.01,0.48,0.02,0.31,0.02,2
25735,0.03,0.45,0.05,0.03,0.04,2
25736,0.02,0.52,0.02,0.03,0.17,2
25737,0.03,0.44,0.03,0.03,0.05,2
25738,0.01,0.61,0.29,0.01,0.01,2
25739,0.03,0.37,0.03,0.03,0.06,2
25740,0.02,0.58,0.02,0.05,0.06,2
25741,0.05,0.06,0.05,0.05,0.05,2
25742,0.02,0.7,0.02,0.01,0.02,2
25743,0.02,0.56,0.02,0.02,0.03,2
25744,0.03,0.28,0.03,0.04,0.11,2
25745,0.01,0.5,0.2,0.01,0.09,2
25746,0.01,0.81,0.02,0.01,0.02,2
25747,0.01,0.69,0.16,0.01,0.01,2
25748,0.01,0.66,0.06,0.02,0.03,2
25749,0.01,0.78,0.01,0.01,0.02,2
25750,0.02,0.5,0.03,0.02,0.07,2
25751,0.02,0.45,0.16,0.02,0.03,2
25752,0.01,0.43,0.01,0.01,0.32,2
25753,0.02,0.61,0.02,0.03,0.1,2
25754,0.01,0.44,0.01,0.01,0.35,2
25755,0.01,0.52,0.01,0.01,0.33,2
25756,0.04,0.34,0.03,0.03,0.03,2
25757,0.02,0.56,0.02,0.06,0.05,2
25758,0.02,0.59,0.06,0.03,0.03,2
25759,0.01,0.76,0.01,0.01,0.02,2
25760,0.01,0.69,0.17,0.01,0.01,2
25761,0.02,0.62,0.03,0.03,0.03,2
25762,0.02,0.62,0.03,0.02,0.02,2
25763,0.02,0.5,0.02,0.04,0.19,2
25764,0.03,0.35,0.04,0.03,0.06,2
25765,0.04,0.16,0.04,0.04,0.1,2
25766,0.02,0.56,0.11,0.02,0.05,2
25767,0.01,0.11,0.02,0.01,0.65,12
25768,0.03,0.35,0.03,0.04,0.04,2
25769,0.03,0.35,0.03,0.06,0.03,2
25770,0.02,0.49,0.02,0.02,0.07,2
25771,0.03,0.36,0.03,0.04,0.04,2
25772,0.03,0.41,0.03,0.03,0.04,2
25773,0.01,0.43,0.02,0.03,0.29,2
25774,0.02,0.52,0.03,0.03,0.03,2
25775,0.01,0.63,0.02,0.02,0.1,2
25776,0.01,0.66,0.02,0.03,0.18,2
25777,0.01,0.66,0.06,0.13,0.01,2
25778,0.01,0.58,0.07,0.01,0.14,2
25779,0.01,0.52,0.01,0.23,0.15,2
25780,0.04,0.17,0.05,0.04,0.04,2
25781,0.04,0.29,0.03,0.04,0.07,2
25782,0.02,0.53,0.09,0.05,0.04,2
25783,0.02,0.57,0.02,0.07,0.08,2
25784,0.02,0.66,0.02,0.02,0.03,2
25785,0.02,0.67,0.02,0.02,0.03,2
25786,0.0,0.46,0.42,0.01,0.06,2
25787,0.01,0.7,0.02,0.02,0.03,2
25788,0.04,0.12,0.04,0.12,0.1,2
25789,0.02,0.57,0.04,0.02,0.05,2
25790,0.02,0.49,0.02,0.02,0.2,2
25791,0.01,0.77,0.02,0.01,0.01,2
25792,0.01,0.82,0.01,0.01,0.01,2
25793,0.02,0.68,0.02,0.03,0.02,2
25794,0.02,0.65,0.03,0.02,0.05,2
25795,0.01,0.7,0.07,0.01,0.04,2
25796,0.03,0.32,0.03,0.03,0.05,2
25797,0.01,0.62,0.18,0.01,0.01,2
25798,0.01,0.69,0.02,0.02,0.04,2
25799,0.04,0.26,0.04,0.04,0.04,2
25800,0.02,0.2,0.02,0.02,0.5,12
25801,0.02,0.57,0.03,0.02,0.02,2
25802,0.02,0.35,0.24,0.06,0.02,2
25803,0.01,0.47,0.01,0.01,0.38,2
25804,0.01,0.76,0.01,0.05,0.04,2
25805,0.03,0.22,0.06,0.03,0.16,2
25806,0.03,0.43,0.08,0.05,0.04,2
25807,0.02,0.51,0.02,0.02,0.17,2
25808,0.01,0.54,0.19,0.02,0.02,2
25809,0.02,0.63,0.02,0.02,0.02,2
25810,0.04,0.16,0.04,0.04,0.17,12
25811,0.01,0.71,0.01,0.01,0.14,2
25812,0.04,0.31,0.04,0.04,0.05,2
25813,0.03,0.28,0.25,0.02,0.03,2
25814,0.03,0.29,0.04,0.04,0.1,2
25815,0.03,0.51,0.03,0.03,0.03,2
25816,0.02,0.42,0.2,0.03,0.06,2
25817,0.01,0.44,0.02,0.01,0.32,2
25818,0.01,0.74,0.05,0.01,0.01,2
25819,0.05,0.1,0.05,0.05,0.05,2
25820,0.03,0.36,0.08,0.03,0.09,2
25821,0.02,0.58,0.02,0.02,0.02,2
