Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
11654,0.03,0.03,0.28,0.03,0.01,0.01,0.1,0.01,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.05,0.3,0.01,0.01
11655,0.1,0.13,0.14,0.03,0.01,0.01,0.03,0.01,0.01,0.02,0.04,0.02,0.02,0.04,0.02,0.09,0.14,0.01,0.12
11656,0.03,0.01,0.1,0.02,0.04,0.02,0.16,0.02,0.02,0.04,0.02,0.02,0.01,0.02,0.03,0.06,0.3,0.02,0.07
11657,0.04,0.08,0.05,0.01,0.02,0.01,0.08,0.02,0.03,0.02,0.01,0.1,0.04,0.11,0.01,0.01,0.28,0.01,0.08
11658,0.02,0.52,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.04,0.08,0.03,0.11,0.01,0.01
11659,0.02,0.02,0.05,0.28,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.03,0.1,0.06,0.04,0.08,0.02,0.14
11660,0.03,0.03,0.02,0.03,0.02,0.02,0.09,0.02,0.02,0.22,0.01,0.02,0.02,0.02,0.08,0.02,0.32,0.02,0.02
11661,0.12,0.03,0.04,0.15,0.01,0.01,0.08,0.01,0.01,0.03,0.01,0.03,0.03,0.06,0.01,0.06,0.21,0.01,0.06
11662,0.02,0.25,0.16,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.05,0.02,0.02,0.09,0.04,0.02,0.13,0.02,0.03
11663,0.08,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.02,0.04,0.07,0.05,0.02,0.01,0.49,0.01,0.02
11664,0.03,0.06,0.08,0.18,0.03,0.01,0.14,0.01,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.03,0.25,0.02,0.01
11665,0.14,0.27,0.04,0.0,0.01,0.01,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.0,0.03,0.02,0.36,0.0,0.02
11666,0.08,0.05,0.16,0.02,0.01,0.01,0.05,0.01,0.01,0.04,0.01,0.01,0.03,0.04,0.06,0.01,0.36,0.01,0.05
11667,0.06,0.04,0.09,0.04,0.02,0.02,0.04,0.02,0.02,0.03,0.02,0.03,0.03,0.11,0.02,0.05,0.33,0.02,0.02
11668,0.01,0.03,0.04,0.07,0.01,0.01,0.26,0.01,0.01,0.05,0.04,0.02,0.02,0.11,0.13,0.01,0.1,0.01,0.03
11669,0.08,0.03,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.05,0.05,0.36,0.04,0.02
11670,0.09,0.13,0.11,0.03,0.02,0.02,0.06,0.03,0.02,0.02,0.03,0.04,0.04,0.03,0.03,0.09,0.1,0.02,0.07
11671,0.02,0.06,0.02,0.07,0.02,0.06,0.16,0.02,0.02,0.14,0.12,0.02,0.02,0.02,0.06,0.02,0.1,0.04,0.04
11672,0.03,0.06,0.18,0.08,0.03,0.02,0.12,0.02,0.02,0.03,0.02,0.02,0.03,0.06,0.05,0.02,0.08,0.08,0.06
11673,0.01,0.17,0.03,0.1,0.01,0.01,0.14,0.03,0.01,0.09,0.01,0.02,0.04,0.05,0.17,0.03,0.05,0.01,0.02
11674,0.03,0.26,0.06,0.04,0.02,0.02,0.03,0.02,0.02,0.05,0.05,0.03,0.02,0.05,0.07,0.02,0.13,0.02,0.05
11675,0.13,0.02,0.04,0.15,0.01,0.01,0.12,0.02,0.01,0.01,0.01,0.02,0.01,0.08,0.01,0.01,0.19,0.03,0.1
11676,0.3,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.03,0.02,0.04,0.01,0.02,0.24,0.01,0.03
11677,0.13,0.03,0.04,0.02,0.05,0.02,0.03,0.02,0.02,0.1,0.02,0.08,0.02,0.02,0.02,0.11,0.07,0.09,0.1
11678,0.06,0.09,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.04,0.01,0.02,0.01,0.06,0.02,0.04,0.47,0.01,0.01
11679,0.02,0.17,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.42,0.02,0.02
11680,0.03,0.17,0.22,0.03,0.06,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.08,0.03,0.03,0.03,0.03
11681,0.05,0.1,0.08,0.02,0.02,0.02,0.05,0.02,0.02,0.03,0.06,0.02,0.02,0.14,0.11,0.05,0.03,0.02,0.13
11682,0.06,0.02,0.1,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.61,0.01,0.02
11683,0.1,0.09,0.04,0.08,0.01,0.01,0.18,0.01,0.02,0.12,0.01,0.02,0.01,0.01,0.01,0.01,0.18,0.04,0.01
11684,0.34,0.12,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.27,0.01,0.02
11685,0.03,0.02,0.1,0.02,0.01,0.01,0.2,0.01,0.01,0.05,0.01,0.02,0.03,0.03,0.13,0.1,0.14,0.03,0.06
11686,0.02,0.36,0.09,0.11,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.04,0.01,0.16,0.01,0.01,0.04,0.01,0.01
11687,0.11,0.04,0.06,0.07,0.04,0.02,0.2,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.06,0.02,0.13,0.02,0.02
11688,0.06,0.02,0.11,0.02,0.04,0.02,0.02,0.03,0.02,0.02,0.04,0.03,0.02,0.02,0.06,0.04,0.4,0.02,0.02
11689,0.09,0.11,0.01,0.1,0.0,0.0,0.03,0.0,0.01,0.03,0.01,0.11,0.02,0.33,0.03,0.01,0.09,0.0,0.01
11690,0.04,0.03,0.03,0.16,0.03,0.03,0.31,0.01,0.01,0.05,0.01,0.02,0.01,0.01,0.09,0.05,0.06,0.01,0.02
11691,0.09,0.01,0.03,0.04,0.03,0.01,0.12,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.49,0.01,0.01
11692,0.03,0.04,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.09,0.08,0.06,0.17,0.03,0.03,0.13,0.04,0.03
11693,0.12,0.19,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.03,0.02,0.04,0.08,0.24,0.02,0.02
11694,0.02,0.06,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.52,0.01,0.05
11695,0.06,0.01,0.05,0.01,0.01,0.01,0.26,0.01,0.01,0.03,0.06,0.01,0.08,0.05,0.01,0.01,0.24,0.01,0.08
11696,0.04,0.13,0.04,0.02,0.03,0.01,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.08,0.05,0.01,0.46,0.01,0.02
11697,0.08,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.05,0.02,0.02,0.08,0.08,0.03,0.35,0.02,0.07
11698,0.3,0.13,0.06,0.01,0.01,0.01,0.02,0.02,0.01,0.04,0.01,0.04,0.01,0.01,0.07,0.03,0.16,0.01,0.05
11699,0.06,0.03,0.06,0.01,0.03,0.01,0.31,0.01,0.01,0.02,0.02,0.05,0.01,0.01,0.03,0.01,0.18,0.01,0.13
11700,0.02,0.1,0.06,0.03,0.01,0.01,0.11,0.01,0.01,0.05,0.01,0.02,0.01,0.07,0.01,0.16,0.28,0.03,0.01
11701,0.05,0.03,0.03,0.01,0.01,0.01,0.34,0.01,0.01,0.05,0.01,0.02,0.12,0.01,0.07,0.01,0.16,0.01,0.02
11702,0.01,0.16,0.04,0.03,0.01,0.01,0.13,0.01,0.01,0.07,0.01,0.02,0.01,0.21,0.02,0.03,0.21,0.01,0.01
11703,0.09,0.03,0.02,0.02,0.01,0.01,0.09,0.02,0.02,0.01,0.03,0.02,0.07,0.02,0.11,0.03,0.39,0.01,0.01
11704,0.03,0.1,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.39,0.09,0.03
11705,0.03,0.34,0.04,0.14,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.11,0.02,0.03,0.02,0.03
11706,0.02,0.17,0.12,0.1,0.02,0.02,0.14,0.02,0.04,0.06,0.05,0.06,0.02,0.02,0.03,0.02,0.1,0.02,0.02
11707,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.07,0.01,0.03,0.01,0.09,0.02,0.01,0.63,0.01,0.02
11708,0.13,0.01,0.04,0.02,0.01,0.01,0.15,0.01,0.01,0.05,0.01,0.03,0.01,0.01,0.01,0.01,0.45,0.02,0.02
11709,0.1,0.04,0.12,0.07,0.07,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.03,0.03,0.11,0.03,0.03
11710,0.08,0.16,0.17,0.05,0.01,0.01,0.08,0.05,0.01,0.01,0.06,0.02,0.03,0.13,0.03,0.04,0.02,0.01,0.01
11711,0.01,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01
11712,0.01,0.04,0.03,0.02,0.0,0.01,0.24,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.02,0.39,0.15,0.01,0.01
11713,0.02,0.02,0.05,0.03,0.02,0.02,0.11,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.12,0.33,0.02,0.04
11714,0.04,0.03,0.11,0.03,0.02,0.03,0.08,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.37,0.03,0.02
11715,0.03,0.02,0.17,0.05,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.1,0.02,0.12
11716,0.02,0.05,0.07,0.06,0.02,0.02,0.13,0.05,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.25,0.05,0.02,0.07
11717,0.1,0.36,0.02,0.04,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.01,0.13,0.01,0.03
