Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
4,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.1,0.09,0.04,0.04,0.04,0.08
5,0.04,0.03,0.02,0.02,0.03,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.14,0.03,0.02,0.02,0.04
6,0.09,0.02,0.03,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.38,0.04,0.02,0.03,0.01,0.01,0.03
7,0.04,0.02,0.02,0.02,0.02,0.02,0.13,0.02,0.03,0.05,0.02,0.11,0.3,0.02,0.04,0.05,0.03,0.03,0.02
8,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.24,0.06,0.04,0.04,0.04
9,0.04,0.07,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.04,0.04,0.07,0.04,0.04,0.04
10,0.03,0.07,0.03,0.03,0.03,0.06,0.09,0.03,0.03,0.03,0.03,0.05,0.24,0.03,0.1,0.03,0.03,0.04,0.04
11,0.04,0.07,0.02,0.01,0.02,0.02,0.04,0.03,0.02,0.04,0.02,0.02,0.35,0.08,0.09,0.02,0.03,0.02,0.07
12,0.01,0.29,0.08,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.02,0.02,0.02,0.01,0.01
13,0.02,0.15,0.02,0.02,0.04,0.02,0.17,0.02,0.02,0.02,0.03,0.07,0.18,0.02,0.11,0.02,0.03,0.02,0.02
14,0.05,0.13,0.03,0.03,0.03,0.03,0.14,0.03,0.03,0.07,0.08,0.05,0.04,0.09,0.03,0.03,0.05,0.03,0.03
15,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.05,0.06,0.05,0.05,0.06,0.05
16,0.1,0.08,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.05,0.22,0.04,0.04,0.04,0.04,0.04,0.04
17,0.05,0.06,0.05,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.16,0.05,0.04,0.04,0.05,0.04,0.04
18,0.1,0.3,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.02,0.33,0.04,0.01,0.01,0.01,0.01,0.03
19,0.04,0.04,0.01,0.04,0.01,0.01,0.32,0.01,0.02,0.04,0.01,0.08,0.21,0.01,0.07,0.01,0.02,0.01,0.01
20,0.04,0.09,0.12,0.1,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.13,0.04,0.03,0.03,0.04,0.03,0.04
21,0.04,0.15,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.52,0.03,0.01,0.01,0.04,0.01,0.03
22,0.02,0.06,0.03,0.13,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.02,0.07,0.26,0.13,0.02,0.03,0.02,0.03
23,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.11,0.04,0.07,0.04
24,0.03,0.05,0.06,0.03,0.03,0.08,0.04,0.03,0.03,0.03,0.03,0.03,0.23,0.03,0.06,0.03,0.03,0.03,0.09
25,0.02,0.19,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.37,0.02,0.02,0.04,0.08,0.02,0.05
26,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.22,0.04,0.04,0.04,0.04
27,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.08,0.21,0.04,0.04,0.04,0.04,0.04,0.04
28,0.02,0.04,0.04,0.02,0.03,0.03,0.2,0.02,0.02,0.03,0.03,0.19,0.03,0.03,0.05,0.13,0.03,0.03,0.03
29,0.03,0.11,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.36,0.02,0.06,0.03,0.03,0.03,0.02
30,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.19,0.04,0.06,0.04,0.08
31,0.06,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.06,0.02,0.01,0.01,0.04
32,0.03,0.12,0.06,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.06,0.11,0.13,0.03,0.03,0.04,0.04,0.03,0.03
33,0.07,0.07,0.03,0.03,0.02,0.02,0.07,0.03,0.02,0.02,0.02,0.05,0.26,0.11,0.02,0.02,0.03,0.02,0.06
34,0.02,0.15,0.06,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.03,0.11,0.28,0.02,0.03,0.02,0.03,0.01,0.09
35,0.04,0.07,0.06,0.04,0.04,0.04,0.23,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.07,0.04,0.04,0.05
36,0.05,0.04,0.08,0.04,0.04,0.05,0.09,0.04,0.04,0.04,0.04,0.04,0.2,0.04,0.04,0.04,0.04,0.04,0.04
37,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.09,0.04,0.04,0.04,0.04,0.04
38,0.05,0.09,0.07,0.07,0.03,0.03,0.06,0.03,0.03,0.05,0.03,0.04,0.16,0.04,0.03,0.05,0.07,0.03,0.03
39,0.02,0.28,0.02,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.1,0.01,0.01,0.01,0.01
40,0.09,0.04,0.03,0.05,0.03,0.03,0.07,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.17,0.04,0.03,0.13
41,0.04,0.08,0.04,0.14,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.12,0.04,0.06,0.04,0.04
42,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.04,0.04,0.04,0.06,0.04,0.04
43,0.03,0.04,0.1,0.03,0.03,0.04,0.11,0.03,0.04,0.04,0.11,0.04,0.08,0.04,0.08,0.05,0.04,0.03,0.05
44,0.04,0.04,0.07,0.03,0.03,0.03,0.16,0.03,0.03,0.03,0.03,0.04,0.21,0.03,0.04,0.03,0.04,0.03,0.03
45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05
46,0.05,0.06,0.04,0.01,0.03,0.01,0.21,0.01,0.01,0.04,0.02,0.06,0.1,0.14,0.02,0.11,0.05,0.01,0.01
47,0.17,0.04,0.05,0.03,0.03,0.03,0.15,0.03,0.03,0.03,0.06,0.06,0.04,0.03,0.04,0.05,0.09,0.03,0.02
48,0.02,0.14,0.01,0.02,0.01,0.01,0.06,0.02,0.02,0.01,0.02,0.01,0.5,0.01,0.02,0.07,0.02,0.01,0.01
49,0.03,0.03,0.07,0.06,0.1,0.03,0.14,0.03,0.03,0.03,0.03,0.03,0.11,0.04,0.14,0.03,0.04,0.03,0.03
50,0.02,0.1,0.02,0.02,0.02,0.02,0.19,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.08,0.04,0.12,0.02
51,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
52,0.03,0.08,0.08,0.06,0.03,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.09,0.1,0.11,0.03,0.08,0.03,0.03
53,0.03,0.07,0.11,0.09,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.08,0.1,0.07,0.03,0.04,0.03,0.03,0.09
54,0.05,0.04,0.03,0.04,0.03,0.04,0.11,0.03,0.04,0.03,0.04,0.04,0.12,0.04,0.03,0.13,0.04,0.04,0.09
55,0.05,0.05,0.04,0.04,0.05,0.05,0.08,0.05,0.05,0.04,0.05,0.05,0.05,0.07,0.1,0.06,0.05,0.05,0.04
56,0.03,0.15,0.04,0.02,0.02,0.01,0.22,0.01,0.01,0.04,0.02,0.01,0.21,0.01,0.1,0.04,0.02,0.01,0.01
57,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.04,0.02,0.03,0.02,0.06,0.42,0.02,0.02,0.02,0.09,0.02,0.02
58,0.02,0.08,0.02,0.02,0.02,0.02,0.13,0.11,0.06,0.04,0.03,0.16,0.12,0.02,0.02,0.05,0.03,0.02,0.02
59,0.02,0.32,0.01,0.03,0.01,0.01,0.05,0.01,0.01,0.03,0.01,0.03,0.27,0.02,0.08,0.02,0.02,0.02,0.01
60,0.09,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.04,0.01,0.02,0.42,0.01,0.07,0.02,0.09,0.01,0.07
61,0.04,0.02,0.03,0.02,0.02,0.02,0.21,0.02,0.02,0.04,0.02,0.03,0.37,0.02,0.04,0.02,0.02,0.02,0.04
62,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.19,0.04,0.04,0.04,0.1
63,0.07,0.12,0.02,0.02,0.03,0.02,0.17,0.02,0.02,0.05,0.02,0.02,0.22,0.02,0.02,0.07,0.02,0.03,0.02
64,0.02,0.2,0.04,0.02,0.02,0.02,0.15,0.02,0.02,0.02,0.02,0.04,0.28,0.02,0.02,0.03,0.04,0.02,0.02
65,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.1,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.13,0.05,0.04,0.04
66,0.01,0.37,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.07,0.06,0.02,0.02,0.02,0.02
67,0.03,0.03,0.03,0.05,0.03,0.03,0.08,0.03,0.04,0.03,0.03,0.03,0.41,0.03,0.03,0.03,0.04,0.03,0.03
68,0.04,0.04,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.04,0.04,0.04,0.14,0.08,0.04,0.04,0.04,0.04,0.08
69,0.06,0.14,0.02,0.03,0.02,0.02,0.31,0.02,0.02,0.02,0.02,0.03,0.14,0.02,0.06,0.05,0.03,0.02,0.02
70,0.03,0.04,0.05,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.06,0.23,0.03,0.22,0.05,0.03,0.02,0.03
71,0.02,0.12,0.01,0.04,0.03,0.02,0.16,0.04,0.02,0.02,0.02,0.05,0.17,0.02,0.2,0.02,0.02,0.02,0.02
72,0.03,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.02,0.02,0.02,0.03,0.14,0.02,0.08,0.02,0.02,0.02,0.02
73,0.04,0.07,0.09,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.11,0.06,0.08,0.04,0.04,0.04,0.04
74,0.04,0.16,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.08,0.09,0.04,0.04,0.04,0.04
75,0.08,0.02,0.11,0.02,0.03,0.02,0.15,0.02,0.02,0.02,0.02,0.02,0.27,0.04,0.04,0.05,0.02,0.02,0.04
76,0.02,0.1,0.02,0.03,0.02,0.02,0.22,0.02,0.02,0.03,0.02,0.02,0.21,0.02,0.02,0.17,0.03,0.02,0.02
77,0.07,0.31,0.03,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.04,0.2,0.04,0.03,0.09,0.02,0.01,0.02
78,0.01,0.38,0.02,0.01,0.01,0.02,0.11,0.02,0.01,0.01,0.01,0.03,0.24,0.01,0.09,0.01,0.01,0.01,0.01
79,0.06,0.04,0.02,0.01,0.01,0.01,0.24,0.01,0.01,0.03,0.02,0.04,0.32,0.02,0.03,0.07,0.02,0.01,0.03
80,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.1,0.02,0.02,0.02,0.05,0.33,0.11,0.02,0.02,0.02,0.02,0.09
81,0.04,0.14,0.07,0.04,0.06,0.04,0.06,0.04,0.04,0.03,0.03,0.03,0.1,0.04,0.09,0.03,0.04,0.04,0.03
82,0.03,0.02,0.02,0.02,0.02,0.02,0.15,0.02,0.03,0.02,0.02,0.03,0.43,0.02,0.06,0.02,0.04,0.02,0.02
83,0.03,0.08,0.03,0.03,0.03,0.03,0.1,0.03,0.03,0.03,0.03,0.03,0.31,0.03,0.04,0.03,0.03,0.03,0.06
84,0.07,0.22,0.09,0.05,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.02,0.18,0.05,0.03,0.01,0.02,0.01,0.03
85,0.04,0.02,0.05,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.05,0.02,0.48,0.02,0.03,0.05,0.12,0.01,0.01
86,0.03,0.07,0.07,0.03,0.04,0.04,0.12,0.04,0.04,0.04,0.04,0.06,0.13,0.07,0.04,0.04,0.03,0.04,0.03
87,0.03,0.15,0.03,0.03,0.03,0.03,0.2,0.03,0.03,0.03,0.03,0.06,0.09,0.04,0.03,0.06,0.03,0.03,0.03
88,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.05
89,0.04,0.1,0.07,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.18,0.04,0.05,0.04,0.05,0.04,0.04
90,0.02,0.4,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.21,0.02,0.01,0.02,0.02,0.04,0.05
91,0.02,0.15,0.11,0.06,0.02,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.2,0.07,0.05,0.02,0.03,0.02,0.03
92,0.03,0.1,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.11,0.03,0.19,0.03,0.03,0.03,0.04,0.04,0.07
93,0.03,0.33,0.02,0.01,0.01,0.01,0.17,0.01,0.02,0.02,0.01,0.06,0.09,0.02,0.05,0.04,0.02,0.02,0.06
94,0.03,0.08,0.05,0.05,0.05,0.03,0.25,0.06,0.03,0.03,0.03,0.03,0.08,0.04,0.06,0.03,0.03,0.03,0.03
95,0.03,0.28,0.04,0.01,0.03,0.01,0.11,0.01,0.01,0.02,0.03,0.03,0.19,0.04,0.01,0.06,0.03,0.01,0.04
96,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.3,0.04,0.04,0.04,0.04,0.04,0.04
97,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.44,0.03,0.03,0.03,0.03,0.03,0.06
98,0.02,0.1,0.06,0.04,0.01,0.01,0.3,0.01,0.01,0.02,0.01,0.02,0.18,0.01,0.01,0.06,0.02,0.01,0.06
99,0.11,0.05,0.04,0.03,0.02,0.02,0.11,0.02,0.02,0.02,0.06,0.02,0.28,0.04,0.02,0.02,0.03,0.02,0.07
100,0.06,0.08,0.05,0.07,0.02,0.03,0.1,0.02,0.02,0.02,0.02,0.03,0.21,0.03,0.06,0.03,0.08,0.02,0.03
101,0.02,0.06,0.04,0.02,0.02,0.02,0.22,0.02,0.02,0.08,0.02,0.03,0.2,0.02,0.07,0.03,0.02,0.02,0.06
102,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.12,0.05,0.05,0.05,0.05,0.05,0.05
103,0.03,0.03,0.09,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.24,0.18,0.03,0.06,0.03,0.03,0.03,0.03
104,0.05,0.06,0.02,0.02,0.01,0.02,0.04,0.02,0.01,0.01,0.01,0.02,0.41,0.01,0.03,0.01,0.17,0.01,0.05
105,0.02,0.09,0.02,0.01,0.02,0.02,0.15,0.02,0.02,0.01,0.02,0.02,0.47,0.02,0.02,0.05,0.02,0.02,0.01
106,0.02,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.02,0.02,0.02,0.04,0.16,0.02,0.06,0.02,0.02,0.02,0.02
107,0.02,0.02,0.02,0.02,0.03,0.03,0.28,0.02,0.02,0.02,0.02,0.03,0.19,0.02,0.05,0.13,0.02,0.03,0.02
108,0.04,0.03,0.02,0.02,0.02,0.02,0.14,0.02,0.02,0.04,0.02,0.09,0.38,0.03,0.01,0.03,0.06,0.02,0.02
109,0.03,0.23,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.09,0.15,0.03,0.04,0.03,0.03
110,0.03,0.28,0.09,0.01,0.03,0.01,0.08,0.01,0.01,0.02,0.01,0.03,0.3,0.01,0.01,0.01,0.01,0.01,0.02
111,0.03,0.04,0.03,0.08,0.03,0.03,0.1,0.03,0.04,0.06,0.03,0.03,0.09,0.04,0.07,0.03,0.05,0.03,0.13
112,0.02,0.22,0.07,0.04,0.02,0.02,0.07,0.04,0.02,0.02,0.04,0.03,0.26,0.02,0.02,0.04,0.02,0.02,0.02
113,0.06,0.01,0.06,0.04,0.02,0.02,0.24,0.02,0.01,0.01,0.01,0.12,0.25,0.01,0.04,0.03,0.02,0.01,0.01
114,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.03,0.49,0.06,0.02,0.03,0.02,0.02,0.04
115,0.03,0.26,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.1,0.03,0.06,0.03,0.03,0.03,0.09
116,0.04,0.12,0.07,0.01,0.01,0.01,0.3,0.03,0.01,0.01,0.02,0.01,0.13,0.06,0.1,0.02,0.04,0.01,0.01
117,0.09,0.04,0.07,0.02,0.02,0.02,0.17,0.03,0.02,0.02,0.07,0.08,0.18,0.02,0.03,0.02,0.04,0.02,0.04
118,0.03,0.07,0.04,0.02,0.02,0.06,0.14,0.02,0.02,0.02,0.02,0.02,0.31,0.03,0.03,0.04,0.03,0.02,0.06
119,0.09,0.12,0.04,0.02,0.01,0.01,0.29,0.02,0.01,0.02,0.01,0.02,0.18,0.02,0.01,0.07,0.02,0.02,0.01
120,0.02,0.08,0.02,0.01,0.02,0.02,0.16,0.02,0.02,0.01,0.01,0.05,0.41,0.02,0.03,0.02,0.05,0.03,0.02
121,0.05,0.02,0.04,0.03,0.02,0.02,0.12,0.02,0.02,0.03,0.04,0.11,0.22,0.01,0.02,0.2,0.01,0.02,0.01
122,0.02,0.28,0.08,0.02,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.18,0.06,0.07,0.02,0.04,0.01,0.05
123,0.01,0.28,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.17,0.06,0.25,0.01,0.02,0.01,0.02
124,0.03,0.02,0.07,0.08,0.03,0.03,0.18,0.03,0.03,0.08,0.02,0.03,0.14,0.02,0.11,0.03,0.02,0.03,0.02
125,0.03,0.09,0.05,0.02,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.13,0.1,0.01,0.05,0.02,0.01,0.01,0.04
126,0.1,0.02,0.04,0.06,0.01,0.01,0.29,0.02,0.01,0.02,0.02,0.02,0.21,0.02,0.04,0.02,0.05,0.01,0.03
127,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.09,0.05,0.05,0.05,0.05,0.05,0.05
128,0.02,0.02,0.02,0.06,0.02,0.02,0.13,0.02,0.02,0.02,0.02,0.04,0.33,0.02,0.05,0.03,0.02,0.02,0.07
129,0.04,0.09,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.14,0.05,0.05,0.05,0.04
130,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.17,0.07,0.04,0.05,0.04,0.04
131,0.06,0.1,0.05,0.02,0.02,0.02,0.17,0.02,0.01,0.01,0.07,0.05,0.23,0.06,0.03,0.01,0.03,0.01,0.02
132,0.04,0.04,0.04,0.03,0.03,0.03,0.15,0.03,0.03,0.04,0.03,0.04,0.1,0.04,0.11,0.1,0.04,0.03,0.03
133,0.02,0.06,0.03,0.02,0.02,0.02,0.19,0.02,0.02,0.03,0.02,0.07,0.25,0.02,0.05,0.05,0.03,0.03,0.02
134,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.29,0.03,0.03,0.03,0.09
135,0.03,0.13,0.09,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.29,0.03,0.03,0.03,0.04,0.03,0.03
136,0.03,0.07,0.04,0.12,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.32,0.02,0.1,0.02,0.02,0.02,0.02
137,0.06,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.51,0.01,0.02,0.01,0.17,0.01,0.02
138,0.04,0.06,0.04,0.02,0.02,0.02,0.11,0.02,0.02,0.03,0.02,0.07,0.29,0.05,0.07,0.02,0.09,0.02,0.02
139,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
140,0.03,0.11,0.06,0.01,0.03,0.01,0.11,0.01,0.01,0.01,0.04,0.01,0.35,0.01,0.04,0.02,0.07,0.01,0.04
141,0.04,0.41,0.02,0.02,0.01,0.01,0.08,0.02,0.01,0.01,0.02,0.02,0.14,0.05,0.06,0.03,0.02,0.01,0.02
142,0.05,0.06,0.03,0.02,0.02,0.02,0.15,0.02,0.03,0.01,0.02,0.04,0.36,0.02,0.07,0.01,0.02,0.02,0.06
143,0.03,0.03,0.03,0.16,0.03,0.03,0.07,0.03,0.03,0.03,0.07,0.13,0.05,0.07,0.03,0.03,0.04,0.03,0.07
144,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.48,0.02,0.04,0.03,0.03,0.03,0.03
145,0.03,0.09,0.03,0.06,0.04,0.03,0.19,0.07,0.03,0.03,0.06,0.03,0.05,0.03,0.07,0.03,0.04,0.03,0.03
146,0.01,0.12,0.04,0.1,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.4,0.12,0.04,0.01,0.01,0.01,0.01
147,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.2,0.04,0.08,0.05,0.04,0.04,0.04
148,0.04,0.03,0.03,0.04,0.03,0.03,0.21,0.03,0.03,0.03,0.03,0.03,0.23,0.03,0.03,0.04,0.05,0.03,0.03
149,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
150,0.02,0.18,0.02,0.02,0.01,0.01,0.08,0.01,0.01,0.01,0.04,0.16,0.34,0.01,0.01,0.03,0.02,0.01,0.01
151,0.15,0.1,0.01,0.02,0.01,0.01,0.09,0.03,0.01,0.03,0.02,0.02,0.37,0.04,0.01,0.01,0.03,0.01,0.01
152,0.01,0.05,0.03,0.03,0.03,0.02,0.34,0.01,0.03,0.04,0.01,0.01,0.19,0.02,0.01,0.08,0.02,0.02,0.05
153,0.03,0.05,0.1,0.01,0.02,0.02,0.04,0.01,0.02,0.02,0.02,0.07,0.4,0.06,0.03,0.02,0.02,0.01,0.07
154,0.03,0.03,0.04,0.05,0.03,0.03,0.21,0.03,0.03,0.03,0.03,0.04,0.27,0.03,0.03,0.04,0.03,0.03,0.02
155,0.03,0.26,0.02,0.02,0.01,0.01,0.24,0.01,0.01,0.03,0.01,0.04,0.18,0.01,0.03,0.03,0.01,0.03,0.01
156,0.03,0.08,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.08,0.03,0.04,0.2,0.03,0.09,0.06,0.03,0.04,0.03
157,0.04,0.24,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04
158,0.06,0.03,0.09,0.03,0.03,0.03,0.16,0.03,0.03,0.03,0.03,0.03,0.16,0.03,0.09,0.03,0.03,0.03,0.07
159,0.04,0.19,0.04,0.02,0.02,0.01,0.25,0.01,0.02,0.01,0.01,0.05,0.08,0.1,0.02,0.05,0.02,0.01,0.03
160,0.04,0.04,0.08,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.25,0.04,0.04,0.04,0.04,0.04,0.04
161,0.03,0.31,0.03,0.01,0.08,0.01,0.11,0.01,0.01,0.02,0.01,0.06,0.18,0.01,0.02,0.03,0.03,0.01,0.03
162,0.05,0.02,0.05,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.05,0.21,0.01,0.02,0.22,0.01,0.01,0.05
163,0.04,0.03,0.03,0.04,0.03,0.03,0.34,0.03,0.03,0.04,0.03,0.06,0.04,0.03,0.03,0.04,0.03,0.04,0.03
164,0.04,0.09,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.18,0.04,0.04,0.07,0.04,0.04,0.04
165,0.02,0.18,0.04,0.02,0.02,0.02,0.05,0.02,0.01,0.01,0.02,0.04,0.23,0.07,0.14,0.02,0.04,0.02,0.06
166,0.02,0.02,0.02,0.02,0.04,0.02,0.36,0.02,0.02,0.02,0.02,0.03,0.28,0.02,0.04,0.02,0.02,0.02,0.02
167,0.02,0.22,0.04,0.01,0.02,0.01,0.34,0.01,0.01,0.01,0.03,0.02,0.13,0.01,0.04,0.01,0.02,0.01,0.02
168,0.03,0.05,0.02,0.02,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0.03,0.5,0.05,0.02,0.02,0.03,0.02,0.02
169,0.07,0.05,0.1,0.03,0.03,0.03,0.14,0.03,0.03,0.03,0.03,0.07,0.15,0.06,0.03,0.03,0.03,0.03,0.03
170,0.08,0.07,0.01,0.18,0.01,0.01,0.36,0.02,0.01,0.02,0.01,0.03,0.09,0.01,0.03,0.01,0.01,0.01,0.01
171,0.03,0.05,0.03,0.02,0.03,0.05,0.34,0.03,0.03,0.03,0.03,0.05,0.04,0.03,0.03,0.08,0.03,0.03,0.06
172,0.02,0.06,0.06,0.02,0.02,0.02,0.05,0.04,0.02,0.02,0.04,0.02,0.51,0.02,0.02,0.03,0.02,0.02,0.03
173,0.02,0.2,0.03,0.02,0.03,0.02,0.23,0.02,0.02,0.02,0.02,0.03,0.17,0.03,0.04,0.02,0.02,0.02,0.02
174,0.14,0.03,0.03,0.01,0.02,0.02,0.34,0.02,0.02,0.01,0.04,0.02,0.17,0.02,0.02,0.05,0.02,0.02,0.02
175,0.03,0.04,0.02,0.02,0.02,0.02,0.28,0.02,0.02,0.02,0.05,0.03,0.18,0.05,0.02,0.07,0.06,0.02,0.02
176,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.63,0.02,0.02,0.02,0.05,0.02,0.02
177,0.03,0.08,0.04,0.1,0.02,0.02,0.13,0.02,0.02,0.02,0.02,0.03,0.29,0.02,0.05,0.02,0.04,0.02,0.03
178,0.04,0.04,0.03,0.02,0.02,0.02,0.19,0.02,0.02,0.02,0.02,0.03,0.31,0.04,0.02,0.06,0.03,0.03,0.03
179,0.06,0.02,0.02,0.02,0.02,0.02,0.31,0.02,0.02,0.02,0.02,0.03,0.26,0.02,0.02,0.03,0.02,0.02,0.03
180,0.03,0.02,0.03,0.02,0.03,0.03,0.32,0.03,0.03,0.03,0.02,0.03,0.11,0.02,0.02,0.14,0.02,0.03,0.02
181,0.03,0.02,0.03,0.02,0.02,0.02,0.5,0.02,0.02,0.01,0.01,0.04,0.05,0.03,0.08,0.06,0.02,0.02,0.02
