num_topics_Total,alpha,beta,topicoAct,words
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],3,"(3, '0.206*""product"" + 0.204*""great"" + 0.166*""work"" + 0.094*""good"" + 0.060*""well"" + 0.045*""excel"" + 0.032*""expect"" + 0.029*""purchas"" + 0.017*""usual"" + 0.017*""fine""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],4,"(4, '0.062*""time"" + 0.044*""help"" + 0.039*""get"" + 0.038*""make"" + 0.038*""need"" + 0.031*""save"" + 0.030*""go"" + 0.027*""keep"" + 0.020*""inform"" + 0.018*""lot""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],5,"(5, '0.172*""qb"" + 0.102*""rental"" + 0.101*""properti"" + 0.098*""load"" + 0.078*""reliabl"" + 0.070*""extrem"" + 0.065*""task"" + 0.050*""painless"" + 0.043*""ten"" + 0.034*""suppos""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],6,"(6, '0.224*""use"" + 0.181*""year"" + 0.101*""easi"" + 0.045*""turbotax"" + 0.038*""softwar"" + 0.035*""alway"" + 0.033*""everi"" + 0.030*""love"" + 0.029*""program"" + 0.021*""last""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],7,"(7, '0.197*""busi"" + 0.159*""quickbook"" + 0.062*""small"" + 0.046*""payrol"" + 0.044*""home"" + 0.041*""compani"" + 0.036*""pro"" + 0.027*""invoic"" + 0.024*""account"" + 0.023*""link""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],8,"(8, '0.383*""version"" + 0.153*""mac"" + 0.079*""window"" + 0.058*""old"" + 0.050*""new"" + 0.042*""pc"" + 0.027*""essenti"" + 0.018*""previous"" + 0.017*""run"" + 0.017*""latest""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],9,"(9, '0.314*""tax"" + 0.095*""turbo"" + 0.062*""file"" + 0.056*""return"" + 0.038*""state"" + 0.026*""turbotax"" + 0.025*""prepar"" + 0.017*""feder"" + 0.017*""refund"" + 0.017*""complet""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],10,"(10, '0.183*""delux"" + 0.151*""premier"" + 0.145*""friend"" + 0.132*""user"" + 0.070*""edit"" + 0.055*""valu"" + 0.034*""decad"" + 0.029*""ok"" + 0.028*""solid"" + 0.010*""incorpor""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],11,"(11, '0.031*""quicken"" + 0.019*""like"" + 0.016*""account"" + 0.015*""one"" + 0.012*""intuit"" + 0.012*""updat"" + 0.010*""data"" + 0.010*""would"" + 0.010*""upgrad"" + 0.010*""back""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],12,"(12, '0.180*""perfect"" + 0.088*""advertis"" + 0.076*""app"" + 0.055*""mobil"" + 0.047*""enjoy"" + 0.042*""deliv"" + 0.038*""sync"" + 0.032*""disc"" + 0.025*""favorit"" + 0.023*""prompt""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],13,"(13, '0.084*""tt"" + 0.062*""block"" + 0.054*""r"" + 0.049*""situat"" + 0.046*""complic"" + 0.035*""someon"" + 0.034*""cheaper"" + 0.033*""stock"" + 0.031*""profession"" + 0.025*""self""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],14,"(14, '0.098*""step"" + 0.079*""process"" + 0.079*""question"" + 0.053*""walk"" + 0.045*""form"" + 0.041*""ask"" + 0.034*""answer"" + 0.033*""fill"" + 0.028*""guid"" + 0.025*""instruct""')"
20,"[0.710823   0.28801736 0.647657   0.5086654  0.23865381 0.2063217
 4.594335   0.40066075 1.7995799  0.6056427  0.35615826 3.5121222
 0.336731   1.5152248  0.33566394 1.6633413  0.18324876 0.36273637
 0.37207183 0.5081987 ]",[0.04353574 0.04338264 0.04843503 ... 0.04106517 0.04106515 0.04106515],0,"(0, '0.170*""download"" + 0.079*""instal"" + 0.057*""problem"" + 0.046*""comput"" + 0.045*""window"" + 0.037*""run"" + 0.032*""credit"" + 0.028*""minut"" + 0.025*""updat"" + 0.024*""card""')"
20,"[0.710823   0.28801736 0.647657   0.5086654  0.23865381 0.2063217
 4.594335   0.40066075 1.7995799  0.6056427  0.35615826 3.5121222
 0.336731   1.5152248  0.33566394 1.6633413  0.18324876 0.36273637
 0.37207183 0.5081987 ]",[0.04353574 0.04338264 0.04843503 ... 0.04106517 0.04106515 0.04106515],1,"(1, '0.149*""custom"" + 0.122*""support"" + 0.116*""servic"" + 0.052*""call"" + 0.037*""phone"" + 0.031*""worri"" + 0.029*""ok"" + 0.022*""comprehens"" + 0.022*""email"" + 0.021*""resolv""')"
20,"[0.710823   0.28801736 0.647657   0.5086654  0.23865381 0.2063217
 4.594335   0.40066075 1.7995799  0.6056427  0.35615826 3.5121222
 0.336731   1.5152248  0.33566394 1.6633413  0.18324876 0.36273637
 0.37207183 0.5081987 ]",[0.04353574 0.04338264 0.04843503 ... 0.04106517 0.04106515 0.04106515],2,"(2, '0.137*""price"" + 0.109*""save"" + 0.108*""quick"" + 0.097*""money"" + 0.096*""buy"" + 0.083*""amazon"" + 0.039*""item"" + 0.032*""worth"" + 0.031*""cost"" + 0.029*""packag""')"
20,"[0.710823   0.28801736 0.647657   0.5086654  0.23865381 0.2063217
 4.594335   0.40066075 1.7995799  0.6056427  0.35615826 3.5121222
 0.336731   1.5152248  0.33566394 1.6633413  0.18324876 0.36273637
 0.37207183 0.5081987 ]",[0.04353574 0.04338264 0.04843503 ... 0.04106517 0.04106515 0.04106515],3,"(3, '0.503*""work"" + 0.191*""well"" + 0.096*""expect"" + 0.076*""perfect"" + 0.052*""fine"" + 0.011*""met"" + 0.008*""vendor"" + 0.007*""excit"" + 0.006*""manner"" + 0.006*""fault""')"
20,"[0.710823   0.28801736 0.647657   0.5086654  0.23865381 0.2063217
 4.594335   0.40066075 1.7995799  0.6056427  0.35615826 3.5121222
 0.336731   1.5152248  0.33566394 1.6633413  0.18324876 0.36273637
 0.37207183 0.5081987 ]",[0.04353574 0.04338264 0.04843503 ... 0.04106517 0.04106515 0.04106515],4,"(4, '0.225*""job"" + 0.072*""organ"" + 0.044*""navig"" + 0.041*""meet"" + 0.035*""insur"" + 0.034*""level"" + 0.025*""gift"" + 0.023*""effect"" + 0.019*""afford"" + 0.018*""ton""')"
