num_topics_Total,alpha,beta,topicoAct,words
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],3,"(3, '0.024*""play"" + 0.022*""player"" + 0.018*""ea"" + 0.015*""year"" + 0.015*""madden"" + 0.012*""like"" + 0.012*""team"" + 0.011*""mode"" + 0.010*""get"" + 0.009*""ball""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],4,"(4, '0.011*""time"" + 0.011*""charact"" + 0.010*""fight"" + 0.010*""level"" + 0.009*""even"" + 0.009*""one"" + 0.008*""sound"" + 0.006*""enemi"" + 0.006*""medal"" + 0.006*""attack""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],5,"(5, '0.053*""known"" + 0.026*""retail"" + 0.020*""ssx"" + 0.017*""passeng"" + 0.011*""tricki"" + 0.010*""club"" + 0.010*""district"" + 0.010*""thought"" + 0.009*""reput"" + 0.008*""differ""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],6,"(6, '0.025*""bore"" + 0.019*""buy"" + 0.017*""good"" + 0.017*""kid"" + 0.015*""first"" + 0.012*""graphic"" + 0.012*""one"" + 0.012*""got"" + 0.011*""terribl"" + 0.010*""town""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],7,"(7, '0.017*""like"" + 0.015*""play"" + 0.010*""one"" + 0.010*""realli"" + 0.008*""make"" + 0.008*""thing"" + 0.008*""good"" + 0.007*""much"" + 0.007*""get"" + 0.007*""time""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],8,"(8, '0.106*""quot"" + 0.026*""dont"" + 0.021*""craft"" + 0.020*""profit"" + 0.018*""buy"" + 0.016*""bad"" + 0.014*""lotr"" + 0.013*""defect"" + 0.010*""battlefront"" + 0.010*""money""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],9,"(9, '0.023*""play"" + 0.018*""ea"" + 0.013*""get"" + 0.010*""time"" + 0.010*""work"" + 0.010*""buy"" + 0.009*""server"" + 0.008*""citi"" + 0.008*""one"" + 0.007*""even""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],10,"(10, '0.042*""car"" + 0.038*""race"" + 0.019*""like"" + 0.017*""speed"" + 0.015*""drive"" + 0.012*""need"" + 0.010*""want"" + 0.010*""time"" + 0.010*""control"" + 0.010*""nfs""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],11,"(11, '0.017*""leagu"" + 0.014*""two"" + 0.011*""ring"" + 0.010*""wrestl"" + 0.010*""differ"" + 0.009*""dig"" + 0.008*""wcw"" + 0.008*""one"" + 0.007*""better"" + 0.007*""tripl""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],12,"(12, '0.072*""xbox"" + 0.068*""version"" + 0.047*""pc"" + 0.025*""simpson"" + 0.019*""graphic"" + 0.018*""ps2"" + 0.017*""better"" + 0.016*""one"" + 0.011*""advertis"" + 0.011*""control""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],13,"(13, '0.077*""multiplay"" + 0.063*""campaign"" + 0.058*""player"" + 0.048*""battlefield"" + 0.034*""singl"" + 0.032*""mode"" + 0.025*""map"" + 0.021*""match"" + 0.021*""onlin"" + 0.016*""play""')"
15,"[0.10754008 0.07346895 0.02350801 0.09845302 0.05806572 0.01840616
 0.03953657 0.25579    0.02455002 0.43574172 0.05362852 0.02712289
 0.03017927 0.04815448 0.10777295]",[0.06445749 0.14346035 0.08492415 ... 0.0561067  0.05611262 0.05612405],14,"(14, '0.014*""get"" + 0.013*""like"" + 0.011*""enemi"" + 0.010*""level"" + 0.010*""time"" + 0.008*""one"" + 0.008*""weapon"" + 0.008*""shoot"" + 0.008*""play"" + 0.007*""kill""')"
20,"[0.07597747 0.04672614 0.01993323 0.07533124 0.03011392 0.01384443
 0.0192848  0.1859185  0.01831827 0.30018735 0.04446803 0.02373336
 0.04012011 0.0519593  0.08455385 0.04104605 0.04028232 0.07574829
 0.282298   0.02059326]",[0.04639189 0.09123654 0.06832501 ... 0.04401729 0.04401736 0.04401755],0,"(0, '0.069*""sim"" + 0.020*""like"" + 0.014*""new"" + 0.014*""expans"" + 0.012*""one"" + 0.012*""pack"" + 0.011*""go"" + 0.011*""get"" + 0.009*""would"" + 0.009*""make""')"
20,"[0.07597747 0.04672614 0.01993323 0.07533124 0.03011392 0.01384443
 0.0192848  0.1859185  0.01831827 0.30018735 0.04446803 0.02373336
 0.04012011 0.0519593  0.08455385 0.04104605 0.04028232 0.07574829
 0.282298   0.02059326]",[0.04639189 0.09123654 0.06832501 ... 0.04401729 0.04401736 0.04401755],1,"(1, '0.023*""money"" + 0.015*""wast"" + 0.014*""dont"" + 0.012*""get"" + 0.012*""buy"" + 0.011*""delet"" + 0.011*""play"" + 0.010*""im"" + 0.009*""like"" + 0.009*""regret""')"
20,"[0.07597747 0.04672614 0.01993323 0.07533124 0.03011392 0.01384443
 0.0192848  0.1859185  0.01831827 0.30018735 0.04446803 0.02373336
 0.04012011 0.0519593  0.08455385 0.04104605 0.04028232 0.07574829
 0.282298   0.02059326]",[0.04639189 0.09123654 0.06832501 ... 0.04401729 0.04401736 0.04401755],2,"(2, '0.053*""bond"" + 0.042*""cup"" + 0.031*""world"" + 0.016*""jame"" + 0.016*""even"" + 0.016*""goldeney"" + 0.013*""problem"" + 0.010*""activ"" + 0.010*""confirm"" + 0.010*""ever""')"
20,"[0.07597747 0.04672614 0.01993323 0.07533124 0.03011392 0.01384443
 0.0192848  0.1859185  0.01831827 0.30018735 0.04446803 0.02373336
 0.04012011 0.0519593  0.08455385 0.04104605 0.04028232 0.07574829
 0.282298   0.02059326]",[0.04639189 0.09123654 0.06832501 ... 0.04401729 0.04401736 0.04401755],3,"(3, '0.028*""play"" + 0.027*""player"" + 0.022*""ea"" + 0.020*""madden"" + 0.019*""year"" + 0.015*""team"" + 0.014*""like"" + 0.012*""mode"" + 0.012*""ball"" + 0.011*""get""')"
