num_topics_Total,alpha,beta,topicoAct,words
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],3,"(3, '0.023*""back"" + 0.022*""work"" + 0.020*""problem"" + 0.017*""vita"" + 0.015*""soni"" + 0.013*""turn"" + 0.012*""issu"" + 0.012*""ps3"" + 0.010*""consol"" + 0.009*""make""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],4,"(4, '0.017*""get"" + 0.014*""even"" + 0.012*""like"" + 0.011*""quot"" + 0.011*""charact"" + 0.010*""stori"" + 0.009*""first"" + 0.008*""realli"" + 0.008*""play"" + 0.008*""fight""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],5,"(5, '0.020*""control"" + 0.018*""like"" + 0.015*""use"" + 0.013*""work"" + 0.012*""ps3"" + 0.012*""hand"" + 0.012*""peopl"" + 0.012*""infam"" + 0.011*""punch"" + 0.010*""sucker""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],6,"(6, '0.027*""race"" + 0.015*""fun"" + 0.015*""gran"" + 0.014*""turismo"" + 0.012*""test"" + 0.012*""unlock"" + 0.012*""buy"" + 0.011*""love"" + 0.010*""total"" + 0.010*""abl""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],7,"(7, '0.023*""tv"" + 0.016*""soni"" + 0.013*""good"" + 0.013*""would"" + 0.011*""work"" + 0.011*""bought"" + 0.011*""ps3"" + 0.011*""onlin"" + 0.011*""black"" + 0.011*""3d""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],8,"(8, '0.032*""suck"" + 0.019*""review"" + 0.017*""money"" + 0.013*""soni"" + 0.012*""bore"" + 0.010*""wast"" + 0.010*""hard"" + 0.010*""graphic"" + 0.009*""time"" + 0.008*""way""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],9,"(9, '0.030*""play"" + 0.017*""like"" + 0.011*""year"" + 0.010*""busi"" + 0.010*""look"" + 0.009*""buy"" + 0.009*""good"" + 0.009*""time"" + 0.009*""custom"" + 0.009*""bad""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],10,"(10, '0.048*""car"" + 0.040*""race"" + 0.020*""drive"" + 0.016*""play"" + 0.013*""like"" + 0.012*""track"" + 0.011*""fun"" + 0.011*""get"" + 0.011*""would"" + 0.010*""want""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],11,"(11, '0.019*""dragoon"" + 0.018*""legend"" + 0.012*""colossus"" + 0.012*""fantasi"" + 0.010*""final"" + 0.010*""generic"" + 0.009*""mo"" + 0.009*""auto"" + 0.009*""charact"" + 0.008*""iii""')"
15,"[0.07658292 0.10583961 0.04777928 0.03892669 0.06791302 0.02919687
 0.03218078 0.05182593 0.03048801 0.03628651 0.05242446 0.02540285
 0.07955519 0.129863   0.05165693]",[0.08772225 0.10043565 0.29372275 ... 0.05757213 0.05811958 0.05752892],12,"(12, '0.046*""control"" + 0.015*""like"" + 0.014*""play"" + 0.012*""get"" + 0.012*""one"" + 0.009*""use"" + 0.009*""stick"" + 0.008*""ps3"" + 0.007*""shoot"" + 0.007*""time""')"
